layer,head,prompt,regime,T,log_T,q_norm,k_norm_mean,k_norm_std,k_norm_max,v_norm_mean,v_norm_std,v_norm_max,value_spectral,cent_top1,cent_margin12,cent_entropy,cent_top_block_mass,cent_recent_frac,qk_align_max,entropy,gini,mass_top8,mass_top16,mass_top32,margin_top8,margin_top16,sink_mass,recent_mass,oracle_rl2_1,oracle_rl2_2,oracle_rl2_5,oracle_rl2_10,oracle_rl2_15,oracle_rl2_25,router_rl2_10,router_read_10,router_rl2_15,router_read_15,model,ctx_target
0,0,longdoc_32768,longdoc,32768,10.39720770839918,61.031529365018336,250.32575451202874,0.3723278233306274,251.52355395375255,0.2037054033840061,0.05181274826762948,0.3972160155901852,0.05966793652412508,1001.6388530880213,29.335728868842125,2.9294548891477547e-08,0.9999999999988178,0.0196078431372549,0.06707865713432389,2.865269176876928,0.9994300351625776,0.7939978566847637,0.9078132718719395,0.9630665612274834,0.6006290912628174,0.13321781158447266,1.8257490283820213e-15,0.9774221722188736,0.0012362078656484364,0.00030839873127803583,3.812612975375748e-05,3.716707668346813e-06,4.324710893807749e-07,2.6686118541594788e-08,1.812539214510911e-05,0.1005859375,2.8785273116974445e-06,0.150390625,0.5B,32768
0,1,longdoc_32768,longdoc,32768,10.39720770839918,66.8511624071837,250.32575451202874,0.3723278233306274,251.52355395375255,0.2037054033840061,0.05181274826762948,0.3972160155901852,0.05966793652412508,9389.577045463026,29.436900563538074,2.9294065596330586e-08,0.9999999999988354,0.0196078431372549,0.5702037691909458,0.005209691458392592,0.9999694222475516,0.9999866415942834,0.9999976535675512,0.9999997095850097,0.2620237469673157,0.06776857376098633,3.65782065672562e-159,0.9998853629625832,6.519789113878638e-16,6.519724484366643e-16,3.6568844300383414e-16,3.6568844300383414e-16,3.5448402239754956e-16,6.519724484366643e-16,4.707209967031768e-16,0.1005859375,4.707209967031768e-16,0.150390625,0.5B,32768
0,2,longdoc_32768,longdoc,32768,10.39720770839918,57.3322059824657,250.32575451202874,0.3723278233306274,251.52355395375255,0.2037054033840061,0.05181274826762948,0.3972160155901852,0.05966793652412508,3193.85699480772,0.596048504114151,0.9582224466598169,0.6071592934594403,0.00980392156862745,0.22367143661261965,7.863438427340117,0.9322063801849808,0.04126497975191818,0.06946518421408175,0.11284321761933144,0.09316682815551758,0.03794145584106445,1.1001378910912758e-06,0.003231612631707697,0.5329761246595561,0.3855602673313604,0.1527113527788605,0.04512861912114849,0.018916907441823783,0.0036674280050136097,0.1250040975964046,0.1007080078125,0.016132563933279203,0.1505126953125,0.5B,32768
0,3,longdoc_32768,longdoc,32768,10.39720770839918,59.239078329970276,250.32575451202874,0.3723278233306274,251.52355395375255,0.2037054033840061,0.05181274826762948,0.3972160155901852,0.05966793652412508,2198.8938197791576,3.3524070158600807,0.2023578300762355,0.9591215876903475,0.0,0.15073056845377775,7.489969055556804,0.9480646342651062,0.07544950536708064,0.12071769957380933,0.1745125424803721,0.055379390716552734,0.033539772033691406,8.109748138996648e-08,2.3656456236692484e-05,0.07847364304632147,0.052169450183794534,0.02754650368542701,0.011080846830473091,0.004321836172723786,0.0005692097043019219,0.0057583759794910105,0.1007080078125,0.0028867130833095077,0.1505126953125,0.5B,32768
0,4,longdoc_32768,longdoc,32768,10.39720770839918,28.40332172689554,250.32575451202874,0.3723278233306274,251.52355395375255,0.2037054033840061,0.05181274826762948,0.3972160155901852,0.05966793652412508,613.2240380048752,10.54317732900381,0.00030723451645864856,0.9999734600011182,0.0196078431372549,0.09822402198565172,2.8500619006855747,0.9996035304958767,0.7588653116163254,0.9097670016913156,0.9878351531640424,0.6393651962280273,0.07989466190338135,1.888107928277286e-26,0.42079978396407985,6.396747017781068e-07,1.9949781747012494e-08,7.404381190164528e-11,7.439887355070921e-13,3.814423347356424e-14,4.918934549246253e-15,5.081510218943977e-07,0.1005859375,4.905998253671533e-07,0.150390625,0.5B,32768
0,5,longdoc_32768,longdoc,32768,10.39720770839918,25.376031939189385,250.32575451202874,0.3723278233306274,251.52355395375255,0.2037054033840061,0.05181274826762948,0.3972160155901852,0.05966793652412508,1497.1119206286967,1.0993504635989666,0.5845851710034908,0.7473551446826562,0.0196078431372549,0.2648873888802697,1.4255355052208534,0.9998971858709146,0.9894257238542132,0.9993236829565477,0.9999855958264917,0.42014700174331665,0.07460290193557739,5.852603958483015e-31,0.6571619420238644,1.8816366398995515e-10,2.214981789792829e-12,2.653298930994178e-15,2.454670302967139e-15,2.454670302967139e-15,2.247480111333933e-15,1.7573350416022439e-06,0.1005859375,5.355531275936323e-11,0.150390625,0.5B,32768
0,6,longdoc_32768,longdoc,32768,10.39720770839918,60.478695968686736,250.32575451202874,0.3723278233306274,251.52355395375255,0.2037054033840061,0.05181274826762948,0.3972160155901852,0.05966793652412508,3950.9510206505656,0.01225221250206232,2.223317070539356,0.22697406553349064,0.0,0.26278121235947566,7.1744087656839595,0.9674609727277883,0.0675669221511251,0.10009074192158304,0.1506034957090175,0.07945823669433594,0.004994988441467285,1.8236321838268405e-30,5.6227579874778805e-05,0.1204145746791897,0.09967464984610279,0.041462707563025086,0.0032310177693352536,5.24930746312178e-06,5.7812674387468014e-08,0.0036291539169367444,0.1007080078125,9.501957115039717e-07,0.150390625,0.5B,32768
0,7,longdoc_32768,longdoc,32768,10.39720770839918,33.98035173300611,268.8004919535529,0.8389857724051842,270.48316105884254,0.2119353194642373,0.04511875500976576,0.30496422539709617,0.2030439630669469,1220.98536593467,5.923932056874037,0.018795408743182248,0.9973046103846435,0.0196078431372549,0.15915619792325597,0.02719863698145661,0.9999690000898047,0.999907846358623,0.9999868129054611,0.9999991185565738,1.077450156211853,0.09485813975334167,3.155125363057548e-25,4.2453623366022495e-06,4.218922899746478e-11,1.3081595003361262e-12,5.465105693089684e-15,1.7235078216689807e-15,1.9910470353615665e-15,1.7235079144465443e-15,2.090985671479944e-08,0.1005859375,9.179789167692867e-09,0.150390625,0.5B,32768
0,8,longdoc_32768,longdoc,32768,10.39720770839918,130.94592826966016,268.8004919535529,0.8389857724051842,270.48316105884254,0.2119353194642373,0.04511875500976576,0.30496422539709617,0.2030439630669469,2977.5493378452957,2.296815823763609,0.4904282026508602,0.8803185416753326,0.0,0.08726255106258357,5.32941050944583,0.995321932242885,0.12335881170880092,0.21098891026231992,0.3470727339160272,0.02009713649749756,0.01835346221923828,5.782921622739994e-31,4.764705633068591e-12,0.008472274328115575,0.0007062509118951421,1.1352582297404584e-05,8.346716864726846e-07,8.751182285136389e-08,3.1944696864194977e-10,0.0608136537354811,0.1007080078125,0.007558212980962979,0.1505126953125,0.5B,32768
0,9,longdoc_32768,longdoc,32768,10.39720770839918,59.417161535987546,268.8004919535529,0.8389857724051842,270.48316105884254,0.2119353194642373,0.04511875500976576,0.30496422539709617,0.2030439630669469,372.56180557608604,33.398992359638214,2.9289623505312846e-08,0.9999999999989968,0.0196078431372549,0.02569260243619436,2.258338709622796,0.9997633004871181,0.8695669985683504,0.9769589885596299,0.9916260650482006,0.15533041954040527,0.09108090400695801,4.710433620935611e-32,0.9892897281533057,6.635114946714661e-06,4.0698714806243654e-07,9.753385259673521e-09,4.3033945421147327e-10,4.5483295855577287e-11,1.2278305829944875e-12,1.0146939850690801e-07,0.1005859375,5.562322342298388e-08,0.150390625,0.5B,32768
