model,ctx_target,T_med,n_cases,base_rate,cov95_random,cov95_regime,sel_coverage,sel_read_reduction,sel_fail_routed,cov95_layer,cov95_head,oracle_med_readpct_pass,oracle_med_readgain,oracle_rl2@5pct,oracle_rl2@10pct,mean_entropy,mean_mass_top16,mean_router_read_10
0.5B,2048,2048,1344,0.6049107142857143,0.37202380952380953,0.37797619047619047,0.37797619047619047,1.5060075899168786,0.04921259842519685,0.26339285714285715,0.3898809523809524,2,50.0,0.0359531909020465,0.0168932118999417,3.0006290225261716,0.7555171708313189,0.11053471484675018
0.5B,4096,4096,1344,0.6666666666666666,0.5014880952380952,0.40327380952380953,0.40327380952380953,1.5661833845612612,0.04981549815498155,0.4680059523809524,0.47842261904761907,1,100.0,0.0247967094354667,0.011882381823874199,3.147698237104168,0.7404264686218439,0.10357853565587236
0.5B,8192,8192,1344,0.7127976190476191,0.4635416666666667,0.44419642857142855,0.44419642857142855,1.6636465988809668,0.048576214405360134,0.3333333333333333,0.47098214285714285,1,100.0,0.022444675399968,0.01000172237625745,3.358136313600826,0.7127173187758198,0.10192013136196486
0.5B,16384,16384,1344,0.7730654761904762,0.6302083333333334,0.5982142857142857,0.5982142857142857,2.1620547124863045,0.04975124378109453,0.3482142857142857,0.6026785714285714,1,100.0,0.012402718419860449,0.00558452340435725,3.4429838089383558,0.7090440287465913,0.10154259308584096
0.5B,32768,32768,1344,0.7797619047619048,0.6547619047619048,0.4851190476190476,0.4851190476190476,1.7735528457836733,0.049079754601226995,0.3601190476190476,0.671875,1,100.0,0.010866808716999531,0.004835723114249262,3.8135627612219203,0.6667312336211927,0.10082485849594544
1.5B,4096,4096,1344,0.5833333333333334,0.4055059523809524,0.33630952380952384,0.33630952380952384,1.4319666804215625,0.048672566371681415,0.25669642857142855,0.37351190476190477,2,50.0,0.03677186173054532,0.020331264282161064,3.2566699833213333,0.7311365023371836,0.10357459062055112
1.5B,8192,8192,1344,0.6264880952380952,0.40029761904761907,0.2849702380952381,0.2849702380952381,1.3439614842768743,0.04960835509138381,0.22767857142857142,0.38392857142857145,1,100.0,0.035664780828368145,0.018464370150227748,3.5412763450202864,0.6943645835536681,0.10193862262954058
1.5B,16384,16384,1344,0.6778273809523809,0.45089285714285715,0.34672619047619047,0.34672619047619047,1.4524376752899975,0.04935622317596566,0.21949404761904762,0.40401785714285715,1,100.0,0.02780619069073393,0.01542408741117208,3.639566177950914,0.6980951323542954,0.10163875768640122
