regime,mode,seconds,hits,prefills,tokens_avoided,n,speedup_vs_stateless
coding,stateless,147.14843893051147,0,14,0,14,1.0
coding,exact,146.90015697479248,0,14,0,14,1.0016901408468992
coding,canonical,26.963379621505737,10,4,17104,14,5.457344034616019
research,stateless,136.10207724571228,0,14,0,14,1.0
research,exact,168.9037163257599,0,14,0,14,0.8057968184857224
research,canonical,28.744033336639404,11,3,22426,14,4.734967972369621
