prompt,regime,layer,head,T,budget,read_ratio,method,rel_l2,cosine,extra_floats
short_qa,short,0,0,44,8,0.18181818181818182,sparse_renorm,0.08708372537989659,0.9994143606961986,0
short_qa,short,0,0,44,8,0.18181818181818182,cheap_block_residual,0.034221879890838594,0.9997226204932456,128
short_qa,short,0,0,44,8,0.18181818181818182,oracle_mass_global,0.018276512517117708,0.999836795843601,64
short_qa,short,0,0,44,8,0.18181818181818182,oracle_mass_block,0.018867592064807415,0.9998345615499314,64
short_qa,short,0,0,44,8,0.18181818181818182,lowrank_k8,0.016640163267557552,0.9998689875476306,512
short_qa,short,0,0,44,16,0.36363636363636365,sparse_renorm,0.025506238366251155,0.9999533612330677,0
short_qa,short,0,0,44,16,0.36363636363636365,cheap_block_residual,0.015980943838383145,0.9999801060521901,128
short_qa,short,0,0,44,16,0.36363636363636365,oracle_mass_global,0.0049569841870061825,0.9999962288671529,64
short_qa,short,0,0,44,16,0.36363636363636365,oracle_mass_block,0.004187005869738632,0.9999969354288213,64
short_qa,short,0,0,44,16,0.36363636363636365,lowrank_k8,0.002684714878811177,0.9999978991906062,512
short_qa,short,0,0,44,32,0.7272727272727273,sparse_renorm,0.0006572158081384457,0.9999999201514705,0
short_qa,short,0,0,44,32,0.7272727272727273,cheap_block_residual,0.0033769332451731543,0.9999991354137548,128
short_qa,short,0,0,44,32,0.7272727272727273,oracle_mass_global,0.0004565881894990223,0.9999999334068161,64
short_qa,short,0,0,44,32,0.7272727272727273,oracle_mass_block,0.0004763771847552302,0.9999999333568432,64
short_qa,short,0,0,44,32,0.7272727272727273,lowrank_k8,0.0003747658831621421,0.9999999540205577,512
short_qa,short,0,1,44,8,0.18181818181818182,sparse_renorm,1.4111195755312055e-05,0.9999999999845843,0
short_qa,short,0,1,44,8,0.18181818181818182,cheap_block_residual,1.0291272810002004e-05,0.9999999999868864,128
short_qa,short,0,1,44,8,0.18181818181818182,oracle_mass_global,3.2870581452420875e-06,0.9999999999898818,64
short_qa,short,0,1,44,8,0.18181818181818182,oracle_mass_block,3.2081591203934633e-06,0.9999999999900693,64
