regime,mean_S,recent_frac,blockutil_32,nblocks_32
agent,328.0,0.14086545441347267,0.14684283926809705,93.32440476190476
lenshift,193.25,0.18028246823340735,0.12216734428968898,64.3422619047619
longdoc,328.0,0.13112931910569103,0.15439960859457263,89.89360119047619
needle,328.0,0.14339929950638788,0.16131169774043658,92.16220238095238
