features,split,base_rate,auc,cov_at_95prec,coverage,fail_rate_routed,fail_rate_overall,kv_read_reduction
cheap,loro_regime,0.734375,0.9106039578952149,0.5669642857142857,0.5669642857142857,0.049868766404199474,0.028273809523809524,2.0232089267605966
all,loro_regime,0.734375,0.9696786516024849,0.7358630952380952,0.7358630952380952,0.04954499494438827,0.036458333333333336,2.912002395979285
