S,mean_read_ratio,mean_read_gain,median_rel_l2,p90_rel_l2,mean_mass,frac_strict,frac_mod,frac_weak
1,0.000568067838478575,2320.250000000294,1.1054953933594542,1.7506354133489463,0.45596101921887006,0.028273809523809524,0.04389880952380952,0.08407738095238096
2,0.001136135676957175,1160.1250000000884,0.6586837277775266,1.3927718498934367,0.5766045404464977,0.05580357142857143,0.09375,0.15476190476190477
4,0.0022722713539144,580.0625000000132,0.3484085897705937,0.9717853134331379,0.6950191328426042,0.09598214285714286,0.15476190476190477,0.2819940476190476
8,0.004544542707828851,290.0312500000045,0.16148378854008644,0.6812563944046963,0.8003989227211106,0.19196428571428573,0.3586309523809524,0.5602678571428571
16,0.00908908541565775,145.0156250000012,0.0650067965185715,0.4848924257475367,0.8722062770884618,0.4337797619047619,0.5803571428571429,0.734375
32,0.018178170831315548,72.50781250000026,0.032601767982764845,0.3269848499387981,0.9144001562474554,0.5796130952380952,0.6904761904761905,0.8199404761904762
64,0.03635634166263117,36.25390625000003,0.01813221854204,0.22478008457253898,0.9424178518239889,0.6636904761904762,0.7782738095238095,0.8697916666666666
128,0.07271268332526235,18.126953125000014,0.0092995162637735,0.15135971929069866,0.9638950009402184,0.7552083333333334,0.8459821428571429,0.9479166666666666
256,0.1454253666505247,9.063476562500007,0.0038032226592381,0.07889081541518433,0.9805092430523049,0.8452380952380952,0.9263392857142857,0.9813988095238095
