transfer,features,model,test_base_rate,auc,cov_at_95prec,oof_prec_at_op,train_thr_test_prec,train_thr_test_cov,kv_read_reduction,fail_rate_routed
short_med->long,cheap,logreg,0.7996031746031746,0.8608886322875464,0.5188492063492064,0.9502868068833652,1.0,0.2123015873015873,1.2340738964916438,0.0
short_med->long,cheap,rforest,0.7996031746031746,0.8509016534407784,0.5496031746031746,0.9512635379061372,0.9431616341030196,0.558531746031746,1.9961382782708665,0.056838365896980464
short_med->long,cheap,gboost,0.7996031746031746,0.8567243200746874,0.5694444444444444,0.9512195121951219,0.9257503949447078,0.6279761904761905,2.279044860745026,0.07424960505529225
short_med->long,all,logreg,0.7996031746031746,0.8881409232734687,0.6656746031746031,0.9508196721311475,1.0,0.005952380952380952,1.0053423548245406,0.0
short_med->long,all,rforest,0.7996031746031746,0.9612866373485984,0.7777777777777778,0.9502551020408163,0.9836552748885586,0.6676587301587301,2.480129101071516,0.01634472511144131
short_med->long,all,gboost,0.7996031746031746,0.9471353462889713,0.7797619047619048,0.950381679389313,0.9375764993880049,0.810515873015873,3.632150729648618,0.06242350061199511
non_needle->needle,cheap,logreg,0.7946428571428571,0.8568365629919124,0.4732142857142857,0.9528301886792453,0.9353099730458221,0.5520833333333334,1.972263141618433,0.0646900269541779
non_needle->needle,cheap,rforest,0.7946428571428571,0.9181322260218205,0.6889880952380952,0.9503239740820735,0.911190053285968,0.8377976190476191,3.975581423336331,0.08880994671403197
non_needle->needle,cheap,gboost,0.7946428571428571,0.9074729957118819,0.6339285714285714,0.9507042253521126,0.9081272084805654,0.8422619047619048,4.0400667280672025,0.09187279151943463
non_needle->needle,all,logreg,0.7946428571428571,0.9375101774955219,0.7306547619047619,0.9511201629327902,0.9649122807017544,0.6785714285714286,2.5393359759302685,0.03508771929824561
non_needle->needle,all,rforest,0.7946428571428571,0.9767953102100635,0.7976190476190477,0.9514925373134329,0.9378427787934186,0.8139880952380952,3.6662628762792084,0.062157221206581355
non_needle->needle,all,gboost,0.7946428571428571,0.9782880095532758,0.8080357142857143,0.9502762430939227,0.9333333333333333,0.8258928571428571,3.814934500773231,0.06666666666666667
non_agent->agent,cheap,logreg,0.5386904761904762,0.8083407592229549,0.11904761904761904,0.95,0.9122807017543859,0.16964285714285715,1.176260094851779,0.08771929824561403
non_agent->agent,cheap,rforest,0.5386904761904762,0.8099091071110319,0.24404761904761904,0.9512195121951219,0.63003663003663,0.8125,3.552331606217617,0.36996336996337
non_agent->agent,cheap,gboost,0.5386904761904762,0.8921047941543396,0.31547619047619047,0.9528301886792453,0.6615969581749049,0.7827380952380952,3.2501326230007788,0.33840304182509506
non_agent->agent,all,logreg,0.5386904761904762,0.9238281946177153,0.1875,0.9523809523809523,0.9050632911392406,0.47023809523809523,1.7118194680585446,0.0949367088607595
non_agent->agent,all,rforest,0.5386904761904762,0.9322758866512209,0.25892857142857145,0.9540229885057471,0.7797356828193832,0.6755952380952381,2.4858163987637907,0.22026431718061673
non_agent->agent,all,gboost,0.5386904761904762,0.942078060951702,0.16964285714285715,0.9649122807017544,0.8093023255813954,0.6398809523809523,2.3046484825201685,0.19069767441860466
non_longdoc->longdoc,cheap,logreg,0.8095238095238095,0.8882123161764706,0.6547619047619048,0.95,0.9821428571428571,0.5,1.811021630054391,0.017857142857142856
non_longdoc->longdoc,cheap,rforest,0.8095238095238095,0.9411190257352942,0.7827380952380952,0.9505703422053232,0.9298245614035088,0.8482142857142857,4.1598657024793395,0.07017543859649122
non_longdoc->longdoc,cheap,gboost,0.8095238095238095,0.9440487132352942,0.7827380952380952,0.9505703422053232,0.9300699300699301,0.8511904761904762,4.206581352833639,0.06993006993006994
non_longdoc->longdoc,all,logreg,0.8095238095238095,0.962890625,0.8244047619047619,0.9530685920577617,0.9762845849802372,0.7529761904761905,3.070924690181125,0.023715415019762844
non_longdoc->longdoc,all,rforest,0.8095238095238095,0.9893727022058822,0.8452380952380952,0.9507042253521126,0.956989247311828,0.8303571428571429,3.9003541483790904,0.043010752688172046
non_longdoc->longdoc,all,gboost,0.8095238095238095,0.9889131433823529,0.8392857142857143,0.950354609929078,0.953405017921147,0.8303571428571429,3.90047221213222,0.04659498207885305
