split,features,model,auc,ap,cov_at_95prec,realized_prec,base_rate
random,cheap,logreg,0.9115310638051716,0.9125217143998967,0.26445578231292516,0.9501607717041801,0.49829931972789115
random,cheap,tree,0.9096206687105918,0.8971707074943138,0.2070578231292517,0.9507186858316222,0.49829931972789115
random,cheap,rforest,0.9530268409787701,0.9560510123318129,0.3864795918367347,0.9504950495049505,0.49829931972789115
random,cheap,gboost,0.9540727859084861,0.9565782089320127,0.39880952380952384,0.9509594882729211,0.49829931972789115
random,cheap,mlp,0.8992696824203158,0.8917098806009021,0.1377551020408163,0.9506172839506173,0.49829931972789115
random,all,logreg,0.9594818360617805,0.9570366349644723,0.4166666666666667,0.95,0.49829931972789115
random,all,tree,0.9389053190258576,0.9295708003642125,0.4370748299319728,0.9503891050583657,0.49829931972789115
random,all,rforest,0.9810168045351999,0.9825947365569474,0.47278911564625853,0.9505395683453237,0.49829931972789115
random,all,gboost,0.9805829525076647,0.9827415464825547,0.4710884353741497,0.9503610108303249,0.49829931972789115
random,all,mlp,0.9576777347139469,0.9610170470003512,0.40688775510204084,0.9508881922675027,0.49829931972789115
random,cheap_id,logreg,0.9108658240296176,0.9122505793412857,0.26445578231292516,0.9501607717041801,0.49829931972789115
random,cheap_id,tree,0.9097020159657545,0.8984116767798015,0.22151360544217688,0.9500959692898272,0.49829931972789115
random,cheap_id,rforest,0.9541635332909123,0.9570930481148452,0.3924319727891156,0.9501625135427952,0.49829931972789115
random,cheap_id,gboost,0.954341774165558,0.9572033299768379,0.4013605442176871,0.9502118644067796,0.49829931972789115
random,cheap_id,mlp,0.9176541620871175,0.9196981129096894,0.2593537414965986,0.9508196721311475,0.49829931972789115
random,entropy_only,tree,0.6614949094695435,0.6410673350340939,0.00042517006802721087,1.0,0.49829931972789115
random,mass_only,tree,0.6922166946260196,0.659294775021181,0.0,,0.49829931972789115
random,cent_entropy_only,tree,0.6544101058598947,0.6093773365527375,0.00042517006802721087,1.0,0.49829931972789115
loro_regime,cheap,logreg,0.8844586972869786,0.8861190593960637,0.17687074829931973,0.9519230769230769,0.49829931972789115
loro_regime,cheap,tree,0.8244685312662696,0.7588349053507734,0.0,,0.49829931972789115
loro_regime,cheap,rforest,0.92243954995083,0.9262387456816262,0.29846938775510207,0.9501424501424501,0.49829931972789115
loro_regime,cheap,gboost,0.9291776334818073,0.9317735916753709,0.32482993197278914,0.9502617801047121,0.49829931972789115
loro_regime,cheap,mlp,0.900851796147394,0.9003493852170301,0.24064625850340135,0.950530035335689,0.49829931972789115
loro_regime,all,logreg,0.9239927402094058,0.9371237138663865,0.366921768707483,0.9501738122827347,0.49829931972789115
loro_regime,all,tree,0.9121869034534622,0.8706229299134625,0.0008503401360544217,1.0,0.49829931972789115
loro_regime,all,rforest,0.9653699311621449,0.9675619446154504,0.42517006802721086,0.95,0.49829931972789115
loro_regime,all,gboost,0.9532007433331405,0.9583518092727341,0.44260204081632654,0.9500480307396734,0.49829931972789115
loro_regime,all,mlp,0.9507787643894255,0.9512499488474832,0.4013605442176871,0.9502118644067796,0.49829931972789115
loro_regime,cheap_id,logreg,0.8845295597848093,0.8865424423015128,0.18877551020408162,0.9504504504504504,0.49829931972789115
loro_regime,cheap_id,tree,0.8234403019610111,0.758621004491963,0.0021258503401360546,1.0,0.49829931972789115
loro_regime,cheap_id,rforest,0.9226282755828078,0.9250899570017396,0.28741496598639454,0.9511834319526628,0.49829931972789115
loro_regime,cheap_id,gboost,0.9314437872389657,0.934431948911826,0.32908163265306123,0.9509043927648578,0.49829931972789115
loro_regime,cheap_id,mlp,0.8980888818187076,0.8969929931610447,0.2227891156462585,0.950381679389313,0.49829931972789115
loro_regime,entropy_only,tree,0.547023775091109,0.5570666052536165,0.0,,0.49829931972789115
loro_regime,mass_only,tree,0.556306762306936,0.5428651504506582,0.0,,0.49829931972789115
loro_regime,cent_entropy_only,tree,0.5915771244287615,0.5686261343594924,0.0,,0.49829931972789115
lolo_layer,cheap,logreg,0.8784592468328802,0.8221575076649985,0.0,,0.49829931972789115
lolo_layer,cheap,tree,0.8395347660091398,0.7681657989897461,0.0,,0.49829931972789115
lolo_layer,cheap,rforest,0.9183924336206396,0.9211798373504662,0.2576530612244898,0.9504950495049505,0.49829931972789115
lolo_layer,cheap,gboost,0.9098379562677157,0.9082090065445774,0.21258503401360543,0.95,0.49829931972789115
lolo_layer,cheap,mlp,0.8963795048302192,0.8943246876542703,0.1836734693877551,0.9513888888888888,0.49829931972789115
lolo_layer,all,logreg,0.9482537455891711,0.9334872919839279,0.3826530612244898,0.95,0.49829931972789115
lolo_layer,all,tree,0.9256894631804246,0.9090907497067117,0.3439625850340136,0.9505562422744128,0.49829931972789115
lolo_layer,all,rforest,0.9687308382021173,0.969799797418756,0.41964285714285715,0.950354609929078,0.49829931972789115
lolo_layer,all,gboost,0.962749826459189,0.9644664677236683,0.42346938775510207,0.9508032128514057,0.49829931972789115
lolo_layer,all,mlp,0.9446889280962573,0.9359261822081832,0.30654761904761907,0.9500693481276006,0.49829931972789115
lolo_layer,entropy_only,tree,0.6511290999016601,0.6203218373532395,0.0012755102040816326,1.0,0.49829931972789115
lolo_layer,mass_only,tree,0.6867700439636721,0.6376393168797655,0.0,,0.49829931972789115
lolo_layer,cent_entropy_only,tree,0.6322474981199745,0.5823033099471553,0.0,,0.49829931972789115
loho_head,cheap,logreg,0.9064983802857638,0.9021287324703522,0.2606292517006803,0.9510603588907015,0.49829931972789115
loho_head,cheap,tree,0.9036139873893676,0.8946019750363093,0.1832482993197279,0.951276102088167,0.49829931972789115
loho_head,cheap,rforest,0.9443620929021809,0.9478181748407298,0.37712585034013607,0.9503945885005637,0.49829931972789115
loho_head,cheap,gboost,0.941645094579742,0.9432807017796856,0.358843537414966,0.9502369668246445,0.49829931972789115
loho_head,cheap,mlp,0.9160178168565974,0.914531318470606,0.2512755102040816,0.9509306260575296,0.49829931972789115
loho_head,all,logreg,0.9598730259732747,0.960424105703237,0.41028911564625853,0.950259067357513,0.49829931972789115
