layer,head,prompt,regime,T,log_T,q_norm,k_norm_mean,k_norm_std,k_norm_max,v_norm_mean,v_norm_std,v_norm_max,value_spectral,cent_top1,cent_margin12,cent_entropy,cent_top_block_mass,cent_recent_frac,qk_align_max,entropy,gini,mass_top8,mass_top16,mass_top32,margin_top8,margin_top16,sink_mass,recent_mass,oracle_rl2_1,oracle_rl2_2,oracle_rl2_5,oracle_rl2_10,oracle_rl2_15,oracle_rl2_25,router_rl2_10,router_read_10,router_rl2_15,router_read_15
0,0,short_qa,short,44,3.784189633918261,62.061318130506585,250.2619488474221,0.3846975690261712,250.96444669537297,0.24902293018776245,0.08844336799717091,0.39712584057421335,0.04463648828029218,745.6837362347596,33.78557524099415,2.868977582215061e-11,0.9999999999989977,1.0,0.04967987854656685,1.67835322666034,0.8791341724143706,0.9112188797716402,0.9759219442638304,0.9989824823651339,0.3012983706545924,0.4048867844517048,0.00011521672761031579,0.9561088555650189,0.5329250715497194,0.5329250715497194,0.2702592084648397,0.08392078786288971,0.10756804379983184,0.052337754394738485,0.13397698527182425,0.20454545454545456,0.09137407682468378,0.25
0,1,short_qa,short,44,3.784189633918261,70.26953581769811,250.2619488474221,0.3846975690261712,250.96444669537297,0.24902293018776245,0.08844336799717091,0.39712584057421335,0.04463648828029218,10461.570571349439,23.348533830556335,1.7866708352783584e-09,0.9999999999265796,1.0,0.6019616659087956,0.007229709560885638,0.9771911758401731,0.9999857932715398,0.9999991494322752,0.9999999957434681,0.8592316944152572,0.18859498840652122,0.000173993570372092,0.9993431176398646,0.0004917275716930591,0.0004917275716930591,0.0001955171559749716,9.22780078330132e-05,3.060178667434645e-05,2.8313054308060987e-06,0.0004634010288544602,0.20454545454545456,0.0004631024194440601,0.25
0,2,short_qa,short,44,3.784189633918261,57.21481068889479,250.2619488474221,0.3846975690261712,250.96444669537297,0.24902293018776245,0.08844336799717091,0.39712584057421335,0.04463648828029218,1876.806389312533,0.08121818800645997,0.6923233106855875,0.5202933929594908,1.0,0.1330803101878806,2.6755842367392573,0.7075553730045064,0.7291501168122897,0.8610868402087529,0.9784260550959043,0.018768830764742006,0.06692754115607613,0.0978204476552257,0.24113443609419163,0.47872703982637455,0.47872703982637455,0.4787270398271897,0.3882679626631412,0.3614333033585085,0.2470572092520727,0.3794996321694951,0.20454545454545456,0.3267490504029294,0.25
0,3,short_qa,short,44,3.784189633918261,59.64330917519095,250.2619488474221,0.3846975690261712,250.96444669537297,0.24902293018776245,0.08844336799717091,0.39712584057421335,0.04463648828029218,1105.2539339246339,1.7019205903930015,0.4299505940531393,0.8457854086268213,1.0,0.07561349139577608,3.199307437880459,0.5220105193614487,0.5245302878227192,0.7266181237915919,0.9519983680100018,0.006358234251877093,0.04014889892224005,0.07712854704580353,0.5299968899532331,1.5308707383071838,1.5308707383071838,1.082308866461492,0.7901906954989448,0.5938058613617788,0.4932314778622701,0.8709747423196457,0.20454545454545456,0.8153106156929402,0.25
0,4,short_qa,short,44,3.784189633918261,30.422593746747804,250.2619488474221,0.3846975690261712,250.96444669537297,0.24902293018776245,0.08844336799717091,0.39712584057421335,0.04463648828029218,404.53233169779116,1.17360587706645,0.546664505825373,0.7637961763847333,1.0,0.06953625225921524,0.9753605163726061,0.9487217364725158,0.9999913145400449,0.9999989121659572,0.999999994261519,2.272518871195686,0.13266904158334114,1.6682795571941444e-08,8.304308631206343e-06,0.42977188601395333,0.42977188601395333,0.04868099510597503,0.0018212389119595012,4.975299760712676e-05,4.247150830550434e-06,1.2789623253813707,0.20454545454545456,1.2493198161786532,0.25
0,5,short_qa,short,44,3.784189633918261,26.561717125545375,250.2619488474221,0.3846975690261712,250.96444669537297,0.24902293018776245,0.08844336799717091,0.39712584057421335,0.04463648828029218,1354.5430586102666,15.949263880802391,2.0066745803958857e-06,0.9999998816069187,1.0,0.23788757681248293,0.05560291162125228,0.9766401046785572,0.9999999999388943,0.9999999999979823,0.9999999999989985,0.9443832696240975,0.3104403759964498,2.557680777558033e-16,0.9955500924149321,0.007693081126979034,0.007693081126979034,0.0012165369754141469,1.4215210261480988e-07,1.3683346097816117e-10,1.4006991653255788e-11,1.5324747495250777,0.20454545454545456,1.5324327444766759,0.25
0,6,short_qa,short,44,3.784189633918261,61.50935072280644,250.2619488474221,0.3846975690261712,250.96444669537297,0.24902293018776245,0.08844336799717091,0.39712584057421335,0.04463648828029218,3843.630640989958,13.206002927126974,2.6132270756480773e-05,0.9999981604769336,1.0,0.25243429953449853,2.2884531918464273,0.8201181757530782,0.8502102247181376,0.9519587946738478,0.9986446814667913,0.0762403265858893,0.09231005477585086,0.01059328249705694,0.9029876439542674,0.683639607429817,0.683639607429817,0.22649737340149115,0.1648243861716057,0.10687913329037968,0.055118518062443264,0.40189339522055045,0.20454545454545456,0.2786504643782483,0.25
0,7,short_qa,short,44,3.784189633918261,34.49681318152283,268.85039529088476,1.0282266242564766,270.3241712482032,0.1926080461997362,0.058693067509653765,0.3048112570804735,0.20701054247703493,1211.894116614382,44.83311139055536,2.8630999894953417e-11,0.9999999999989999,1.0,0.1588825033308307,2.746143518170536e-05,0.9772726379487242,0.9999999999797357,0.9999999999989986,0.9999999999989999,1.243146827855412,0.7491671903937345,4.270722987565456e-24,1.8925119407194842e-06,5.44072000235222e-06,5.44072000235222e-06,3.5171842933106013e-09,3.5949529678469504e-10,3.777727319095811e-11,3.2467757235593753e-12,0.16448446830990743,0.20454545454545456,0.715318517487538,0.25
0,8,short_qa,short,44,3.784189633918261,132.3933256175421,268.85039529088476,1.0282266242564766,270.3241712482032,0.1926080461997362,0.058693067509653765,0.3048112570804735,0.20701054247703493,2979.307780337576,5.228380512784952,0.033233979925840054,0.9946663975615452,1.0,0.08461664395216323,2.267373434142517,0.8332878776612488,0.9036662930578594,0.9930024260083906,0.9994574880957365,0.175306015205706,0.1930690890710025,0.10320087473016343,0.19460315974233677,0.6658387953979709,0.6658387953979709,0.6287690796556388,0.18384150875538438,0.13729850106357647,0.04342357803309244,1.0878720077397084,0.20454545454545456,0.6150590856695551,0.25
0,9,short_qa,short,44,3.784189633918261,59.92711471802519,268.85039529088476,1.0282266242564766,270.3241712482032,0.1926080461997362,0.058693067509653765,0.3048112570804735,0.20701054247703493,444.327422013641,26.07859242360746,1.5386964453425909e-10,0.999999999994277,1.0,0.02831955507428551,2.5115208774043403,0.7860658805684799,0.8241424889096461,0.9428979395216018,0.9953209442759363,0.13536081930004684,0.11815432940590398,0.002834386977020642,0.9595378607445652,1.3542984807663951,1.3542984807663951,0.7609352767012624,0.40150214938596307,0.2755929832995693,0.11233259236149984,0.4800648413439366,0.20454545454545456,0.33432195676314685,0.25
0,10,short_qa,short,44,3.784189633918261,65.6179520939837,268.85039529088476,1.0282266242564766,270.3241712482032,0.1926080461997362,0.058693067509653765,0.3048112570804735,0.20701054247703493,1146.4190424559179,6.7444362539674785,0.009108362730499512,0.9988239724145513,1.0,0.06609160772173404,3.3687501784135065,0.4850378549167271,0.46426808727377,0.7229215169948069,0.9540342289431413,0.01512145533681064,0.17075393378650006,0.1890464966848958,0.35038244065308405,3.1331014324526194,3.1331014324526194,2.373120006323177,1.5415894181916947,1.189391783269787,0.7251539446850308,1.0541402135597426,0.20454545454545456,0.9394704953989728,0.25
0,11,short_qa,short,44,3.784189633918261,56.616083013204026,268.85039529088476,1.0282266242564766,270.3241712482032,0.1926080461997362,0.058693067509653765,0.3048112570804735,0.20701054247703493,1142.8014899049474,23.128610045547475,2.2003545160940027e-09,0.9999999999087654,1.0,0.0778414592101676,1.214006844614353,0.9359816842086892,0.978754734159398,0.9939622603779299,0.9998521121392298,0.3048304882973696,0.061976774922442246,0.00013326286702239156,0.9618671556262183,0.7609099824591221,0.7609099824591221,0.06942154948680773,0.04734733238655832,0.02916454059106332,0.012790979743572241,0.06753134163817803,0.20454545454545456,0.0663161800384545,0.25
0,12,short_qa,short,44,3.784189633918261,67.6574642064345,268.85039529088476,1.0282266242564766,270.3241712482032,0.1926080461997362,0.058693067509653765,0.3048112570804735,0.20701054247703493,1400.5723696657383,3.789460376066927,0.10613336421115929,0.9778920146038873,1.0,0.07778932695468209,3.1793809066319647,0.5939643962037809,0.5884561108707508,0.8324029341592442,0.974989618240629,0.1223172621548656,0.30176549430132127,0.06284569305763132,0.5930293530540452,1.6779264814478958,1.6779264814478958,0.8332822481883552,0.5089917470310134,0.40910310177038506,0.3235991978723262,0.7243220713658383,0.20454545454545456,0.6340813409348744,0.25
0,13,short_qa,short,44,3.784189633918261,53.25111708206516,268.85039529088476,1.0282266242564766,270.3241712482032,0.1926080461997362,0.058693067509653765,0.3048112570804735,0.20701054247703493,978.3495335469288,45.49807516730823,2.8630999457441335e-11,0.9999999999989999,1.0,0.07327814438325891,0.5985412905156475,0.9662753627792097,0.9986333215984529,0.9999688204651123,0.9999998619284411,0.11532788453862963,0.9647789302593139,3.9227692281662623e-07,0.9930104496102536,0.22819488787555378,0.22819488787555378,0.010380085957962653,0.0032769776288722363,0.0020232463401137256,0.0004078038073469143,0.009958871752125035,0.20454545454545456,0.009928789014031774,0.25
