prompt,regime,layer,head,T,S,read_ratio,component_read_gain,rel_l2,cosine,js,topk_overlap,mass_retained,entropy,gini,pass_strict,pass_mod,pass_weak
short_qa,short,0,0,44,1,0.022727272727272728,44.0,0.5329250715497194,0.9868545230699518,0.15766404038976678,1.0,0.6127948254189935,1.67835322666034,0.8791341724143706,False,False,False
short_qa,short,0,0,44,2,0.045454545454545456,22.0,0.29363617481312565,0.9952256778305701,0.12550426148770216,1.0,0.6816174592344798,1.67835322666034,0.8791341724143706,False,False,False
short_qa,short,0,0,44,4,0.09090909090909091,11.0,0.1390943914930171,0.9985936543018212,0.0765142169259295,1.0,0.7959808023743772,1.67835322666034,0.8791341724143706,False,False,True
short_qa,short,0,0,44,8,0.18181818181818182,5.5,0.08708372537989653,0.9994143606961986,0.031800591214128655,1.0,0.9112188797716402,1.67835322666034,0.8791341724143706,False,True,True
short_qa,short,0,0,44,16,0.36363636363636365,2.75,0.02550623836625111,0.9999533612330678,0.008418171958721622,1.0,0.9759219442638304,1.67835322666034,0.8791341724143706,True,True,True
short_qa,short,0,0,44,32,0.7272727272727273,1.375,0.0006572158081385002,0.9999999201514703,0.00035277412323624617,1.0,0.9989824823651339,1.67835322666034,0.8791341724143706,True,True,True
short_qa,short,0,1,44,1,0.022727272727272728,44.0,0.0004917275716930591,0.9999999863836425,0.0002543012420240915,1.0,0.9992664352468473,0.007229709560885638,0.9771911758401731,True,True,True
short_qa,short,0,1,44,2,0.045454545454545456,22.0,0.000195471618784399,0.9999999963946133,0.00014551526450411146,1.0,0.9995801946763432,0.007229709560885638,0.9771911758401731,True,True,True
short_qa,short,0,1,44,4,0.09090909090909091,11.0,0.00012651608388344475,0.9999999979104991,6.005862844317817e-05,1.0,0.9998267177125065,0.007229709560885638,0.9771911758401731,True,True,True
short_qa,short,0,1,44,8,0.18181818181818182,5.5,1.4111195755344083e-05,0.9999999999845843,4.9235460828061785e-06,1.0,0.9999857932715398,0.007229709560885638,0.9771911758401731,True,True,True
short_qa,short,0,1,44,16,0.36363636363636365,2.75,7.210902598054535e-07,0.9999999999949418,2.94681676572091e-07,1.0,0.9999991494322752,0.007229709560885638,0.9771911758401731,True,True,True
short_qa,short,0,1,44,32,0.7272727272727273,1.375,4.364702088708311e-09,0.9999999999949616,1.448421418099135e-09,1.0,0.9999999957434681,0.007229709560885638,0.9771911758401731,True,True,True
short_qa,short,0,2,44,1,0.022727272727272728,44.0,0.47872703982637455,0.9915831715815647,0.388195287236357,1.0,0.24040068689811525,2.6755842367392573,0.7075553730045064,False,False,False
short_qa,short,0,2,44,2,0.045454545454545456,22.0,0.4787270398270729,0.9915831715815645,0.2267057440288509,1.0,0.4803156702672975,2.6755842367392573,0.7075553730045064,False,False,False
short_qa,short,0,2,44,4,0.09090909090909091,11.0,0.4787270398272348,0.9915831715815644,0.1519169036219299,1.0,0.624746853486377,2.6755842367392573,0.7075553730045064,False,False,False
short_qa,short,0,2,44,8,0.18181818181818182,5.5,0.3492728291044506,0.9950821813078969,0.10451953626703098,1.0,0.7291501168122897,2.6755842367392573,0.7075553730045064,False,False,False
short_qa,short,0,2,44,16,0.36363636363636365,2.75,0.15361797374479516,0.9987616464249047,0.05073819465317369,1.0,0.8610868402087529,2.6755842367392573,0.7075553730045064,False,False,True
short_qa,short,0,2,44,32,0.7272727272727273,1.375,0.029935250040414897,0.9999231735343117,0.007535774393162673,1.0,0.9784260550959043,2.6755842367392573,0.7075553730045064,True,True,True
short_qa,short,0,3,44,1,0.022727272727272728,44.0,1.5308707383071838,0.9055080958573315,0.39013407232282815,1.0,0.23804328782536557,3.199307437880459,0.5220105193614487,False,False,False
short_qa,short,0,3,44,2,0.045454545454545456,22.0,1.349386577022458,0.9262254613488456,0.3368934541432588,1.0,0.30702756690546584,3.199307437880459,0.5220105193614487,False,False,False
short_qa,short,0,3,44,4,0.09090909090909091,11.0,0.9309155223640675,0.9513566700398454,0.2818422084460036,1.0,0.38815373141661436,3.199307437880459,0.5220105193614487,False,False,False
short_qa,short,0,3,44,8,0.18181818181818182,5.5,0.5354488499407988,0.9752636712571453,0.20248323371601792,1.0,0.5245302878227192,3.199307437880459,0.5220105193614487,False,False,False
short_qa,short,0,3,44,16,0.36363636363636365,2.75,0.22449799295573258,0.9931212615219573,0.1056140048168821,1.0,0.7266181237915919,3.199307437880459,0.5220105193614487,False,False,False
short_qa,short,0,3,44,32,0.7272727272727273,1.375,0.055996309261372355,0.9994376800135794,0.016931229836734552,1.0,0.9519983680100018,3.199307437880459,0.5220105193614487,False,True,True
short_qa,short,0,4,44,1,0.022727272727272728,44.0,0.42977188601395333,0.9214958605741046,0.22355599207213123,1.0,0.4859320145736296,0.9753605163726061,0.9487217364725158,False,False,False
short_qa,short,0,4,44,2,0.045454545454545456,22.0,0.08987111068679907,0.9979036239096818,0.02765351176625419,1.0,0.9224651364031476,0.9753605163726061,0.9487217364725158,False,True,True
short_qa,short,0,4,44,4,0.09090909090909091,11.0,0.0025781146309941786,0.9999977762897005,0.0009395535545579745,1.0,0.9972916700899015,0.9753605163726061,0.9487217364725158,True,True,True
short_qa,short,0,4,44,8,0.18181818181818182,5.5,7.670206886513542e-06,0.9999999999702988,3.0100081493883864e-06,1.0,0.9999913145400449,0.9753605163726061,0.9487217364725158,True,True,True
short_qa,short,0,4,44,16,0.36363636363636365,2.75,8.361449060360028e-07,0.9999999999872824,3.769145696195069e-07,1.0,0.9999989121659572,0.9753605163726061,0.9487217364725158,True,True,True
short_qa,short,0,4,44,32,0.7272727272727273,1.375,5.7319351602948e-09,0.9999999999874227,1.9700136244536102e-09,1.0,0.999999994261519,0.9753605163726061,0.9487217364725158,True,True,True
