budget,method,oracle_rel_l2,router_rel_l2,gap
8,jl,0.16148378854008644,1.161268788511875,0.9997849999717887
8,block_centroid,0.16148378854008644,0.6446049629020755,0.48312117436198904
8,block_upperbound,0.16148378854008644,0.9528757329325548,0.7913919443924684
8,recency_router,0.16148378854008644,1.1992027398541496,1.0377189513140632
8,sink_recent_router,0.16148378854008644,0.44923126601151536,0.2877474774714289
16,jl,0.0650067965185715,0.9565034139874811,0.8914966174689096
16,block_centroid,0.0650067965185715,0.6446049629020755,0.5795981663835039
16,block_upperbound,0.0650067965185715,0.9528757329325548,0.8878689364139833
16,recency_router,0.0650067965185715,0.966888078256882,0.9018812817383106
16,sink_recent_router,0.0650067965185715,0.29202666051046305,0.22701986399189156
32,jl,0.032601767982764845,0.6812908571535128,0.648689089170748
32,block_centroid,0.032601767982764845,0.27576682569551975,0.2431650577127549
32,block_upperbound,0.032601767982764845,0.6348146319765885,0.6022128639938237
32,recency_router,0.032601767982764845,0.7254376450997233,0.6928358771169585
32,sink_recent_router,0.032601767982764845,0.11842115348447015,0.0858193855017053
64,jl,0.01813221854204,0.43600916459761807,0.41787694605557807
64,block_centroid,0.01813221854204,0.122048767875092,0.103916549333052
64,block_upperbound,0.01813221854204,0.16516299522218214,0.14703077668014214
64,recency_router,0.01813221854204,0.7062376416791859,0.688105423137146
64,sink_recent_router,0.01813221854204,0.1047599458512578,0.08662772730921779
128,jl,0.0092995162637735,0.24507025882543276,0.23577074256165925
128,block_centroid,0.0092995162637735,0.05420556463790215,0.04490604837412865
128,block_upperbound,0.0092995162637735,0.061464137872201896,0.0521646216084284
128,recency_router,0.0092995162637735,0.07646625833057774,0.06716674206680424
128,sink_recent_router,0.0092995162637735,0.033578937230325054,0.024279420966551554
