decision,split,base_rate,auc,cov_at_95prec,realized_prec
aggressively_compressible,random,0.5686383928571429,0.9077840140394176,0.3482142857142857,0.9503205128205128
aggressively_compressible,heldout_regime,0.5686383928571429,0.8805655038105238,0.2903645833333333,0.9500320307495196
mildly_compressible,random,0.7760416666666666,0.9155431877761249,0.6702008928571429,0.9500416319733556
mildly_compressible,heldout_regime,0.7760416666666666,0.8896145160108682,0.6075148809523809,0.9500918554807104
needs_exact_fallback,random,0.1675967261904762,0.9186732308608064,0.031436011904761904,0.9526627218934911
needs_exact_fallback,heldout_regime,0.1675967261904762,0.8932363171894667,0.0011160714285714285,1.0
