invalidation,overhead,hit_rate,speedup
0.0,0.0,0.875,6.847500303917237
0.0,0.03,0.875,5.825552673120497
0.0,0.1,0.875,4.32087090872284
0.05,0.0,0.8354166666666667,5.4150565971284035
0.05,0.03,0.8354166666666667,4.781710873058657
0.05,0.1,0.8354166666666667,3.7565281555725045
0.1,0.0,0.775,4.10451285575226
0.1,0.03,0.775,3.7548074186866596
0.1,0.1,0.775,3.132136921786126
0.2,0.0,0.6770833333333334,2.9481426865632767
0.2,0.03,0.6770833333333334,2.7853546385084185
0.2,0.1,0.6770833333333334,2.467448509699101
0.3,0.0,0.6416666666666667,2.675501466690141
0.3,0.03,0.6416666666666667,2.547453599425277
0.3,0.1,0.6416666666666667,2.291551651398672
