prompt,regime,layer,head,T,entropy,gini,value_spectral,margin_top16,mass_top16,oracle_rl2_s16,jl_rl2_s16,quant4_rl2
short_qa,short,0,0,44,1.67835322666034,0.8791341724143706,0.04463648828029218,0.4048867844517048,0.9759219442638304,0.02550623836625111,0.3483373500373473,0.32889758966205734
short_qa,short,0,1,44,0.007229709560885638,0.9771911758401731,0.04463648828029218,0.18859498840652122,0.9999991494322752,7.210902598054535e-07,0.062022315035450214,0.7107373365516322
short_qa,short,0,2,44,2.6755842367392573,0.7075553730045064,0.04463648828029218,0.06692754115607613,0.8610868402087529,0.15361797374479516,0.3050068273788421,0.5938525321309839
short_qa,short,0,3,44,3.199307437880459,0.5220105193614487,0.04463648828029218,0.04014889892224005,0.7266181237915919,0.22449799295573258,0.4707009120164408,0.24673424558492568
short_qa,short,0,4,44,0.9753605163726061,0.9487217364725158,0.04463648828029218,0.13266904158334114,0.9999989121659572,8.361449060360028e-07,4.647999752231107e-05,0.20290609558314862
short_qa,short,0,5,44,0.05560291162125228,0.9766401046785572,0.04463648828029218,0.3104403759964498,0.9999999999979823,1.0891744984444942e-12,3.805349138658587e-11,0.17301957860512632
short_qa,short,0,6,44,2.2884531918464273,0.8201181757530782,0.04463648828029218,0.09231005477585086,0.9519587946738478,0.023276944192019294,0.2342342209218465,0.31023939034717246
short_qa,short,0,7,44,2.746143518170536e-05,0.9772726379487242,0.20701054247703493,0.7491671903937345,0.9999999999989986,3.136446073828827e-15,5.430444460787005e-06,0.1982954483516108
short_qa,short,0,8,44,2.267373434142517,0.8332878776612488,0.20701054247703493,0.1930690890710025,0.9930024260083906,0.014044886885535646,0.10391734026155072,1.8716670674318876
short_qa,short,0,9,44,2.5115208774043403,0.7860658805684799,0.20701054247703493,0.11815432940590398,0.9428979395216018,0.05189827123527073,0.7561684919798644,0.42726882080494505
short_qa,short,0,10,44,3.3687501784135065,0.4850378549167271,0.20701054247703493,0.17075393378650006,0.7229215169948069,0.4556526428412384,0.8250339551949176,1.306172859482905
short_qa,short,0,11,44,1.214006844614353,0.9359816842086892,0.20701054247703493,0.061976774922442246,0.9939622603779299,0.006175042789222962,1.4785656552683395,0.6414920552476171
short_qa,short,0,12,44,3.1793809066319647,0.5939643962037809,0.20701054247703493,0.30176549430132127,0.8324029341592442,0.2031336650294639,1.2125324113345841,0.6906249734838358
short_qa,short,0,13,44,0.5985412905156475,0.9662753627792097,0.20701054247703493,0.9647789302593139,0.9999688204651123,2.7597530928705704e-05,1.1227812402078812,0.21848817270008317
short_qa,short,1,0,44,2.388801619007322,0.8125638742805599,0.26417271549636684,0.5295177452065483,0.9957201088731087,0.008968261220489224,0.01486949648699707,0.34221962374073983
short_qa,short,1,1,44,2.701113360926078,0.7453130104380951,0.26417271549636684,0.28400332165879616,0.9331734021717357,0.12324185600998587,0.14199917581301297,0.17973229182641093
short_qa,short,1,2,44,2.56357876357508,0.7776553270973768,0.26417271549636684,0.3129911169542172,0.9753715883732951,0.06984159922220454,0.1597987544969204,0.227710996093186
short_qa,short,1,3,44,3.1424794020511815,0.6024490855948864,0.26417271549636684,0.02187208461759571,0.8229219229474379,0.2079024778889652,0.46980151851490964,0.16505464710854126
short_qa,short,1,4,44,2.244613466385,0.831068427863266,0.26417271549636684,0.04081587663323116,0.9642610746353966,0.04179367436137023,0.06470831364706899,0.12839501389769578
short_qa,short,1,5,44,2.972111189120436,0.6389985891329999,0.26417271549636684,0.003952236546194587,0.8167899042015947,0.2580043873479741,1.302380864549379,0.15780017829835213
short_qa,short,1,6,44,2.3737557591088034,0.8142466855481124,0.26417271549636684,0.013022778175274086,0.9646881349386276,0.057685884219137076,0.14328763933633004,0.12212865830433219
short_qa,short,1,7,44,3.3403442375045826,0.5096985583773495,0.042272410849242145,0.05262877756928219,0.7368827620448393,0.07306456092895004,0.13094391482125067,0.17427743383547814
short_qa,short,1,8,44,1.2538514566637895,0.9379301684229113,0.042272410849242145,0.4628184340450687,0.9996435588348548,0.00023901524149129476,0.0011785991611126096,0.21061842300441364
short_qa,short,1,9,44,1.0306067834367592,0.9497651565741753,0.042272410849242145,0.6776142969828811,0.9995852676170094,0.00022267758490154995,0.008935226160337078,0.2746055943291656
short_qa,short,1,10,44,2.5698907083359415,0.7641241498954489,0.042272410849242145,0.0795108005060996,0.9232440458845523,0.027480053922752972,0.29410368529624004,0.11382064241767495
