model,ctx,prompt,regime,T,cross_head_jaccard,cross_layer_jaccard
0.5B,8192,longdoc_8192,longdoc,8192,0.19962834179978584,0.11540655302707686
0.5B,8192,needle_8192_d50,needle,8192,0.21133127884362915,0.1338568277717305
0.5B,8192,lenshift_8192,lenshift,4992,0.3282987185645183,0.21910219264612385
0.5B,8192,agent_8192,agent,8192,0.23754056824344336,0.1439448290483029
