model,ctx,prompt,regime,T,cross_head_jaccard,cross_layer_jaccard
1.5B,8192,longdoc_8192,longdoc,8192,0.22398426120111323,0.14011381074366008
1.5B,8192,needle_8192_d50,needle,8192,0.25196945991637476,0.17356005725565737
1.5B,8192,lenshift_8192,lenshift,4992,0.3379300396465243,0.22856072855214393
1.5B,8192,agent_8192,agent,8192,0.2490339461222135,0.1657149237669027
