model,ctx,prompt,regime,T,cross_head_jaccard,cross_layer_jaccard
0.5B,4096,longdoc_4096,longdoc,4096,0.22528536183782288,0.12863904313266383
0.5B,4096,needle_4096_d50,needle,4096,0.22407964344490242,0.1329441173850548
0.5B,4096,lenshift_4096,lenshift,2655,0.3590567858384521,0.2593272288052265
0.5B,4096,agent_4096,agent,4096,0.2323952926877545,0.14877264993623343
