model,ctx,prompt,regime,T,cross_head_jaccard,cross_layer_jaccard
0.5B,32768,longdoc_32768,longdoc,32768,0.20889558830734645,0.12365109274824698
0.5B,32768,needle_32768_d50,needle,32768,0.2223436999021772,0.1254890573867705
0.5B,32768,lenshift_32768,lenshift,18983,0.23539424706784082,0.1314702300533265
0.5B,32768,agent_32768,agent,32768,0.20007608959520423,0.11038100781381141
