layer,head,prompt,regime,T,log_T,q_norm,k_norm_mean,k_norm_std,k_norm_max,v_norm_mean,v_norm_std,v_norm_max,value_spectral,cent_top1,cent_margin12,cent_entropy,cent_top_block_mass,cent_recent_frac,qk_align_max,entropy,gini,mass_top8,mass_top16,mass_top32,margin_top8,margin_top16,sink_mass,recent_mass,oracle_rl2_1,oracle_rl2_2,oracle_rl2_5,oracle_rl2_10,oracle_rl2_15,oracle_rl2_25,router_rl2_10,router_read_10,router_rl2_15,router_read_15,model,ctx,orl2_0.0025,orl2_0.005,orl2_0.01,orl2_0.02,orl2_0.05,orl2_0.1,orl2_0.15,orl2_full,S,contig_runs,run_frac,recent_frac,sink_frac,nblocks_16,blockutil_16,nblocks_32,blockutil_32,nblocks_64,blockutil_64,nblocks_128,blockutil_128
0,0,longdoc_4096,longdoc,4096,8.317766166719343,60.7420523895282,250.4359697874977,0.28681838719721287,251.31891315622278,0.20399033239042869,0.05222085558113285,0.3972160155901852,0.05984514679787424,1302.1247713565826,27.76290875673294,3.660077998239968e-09,0.9999999999981224,0.16666666666666666,0.08712132294853661,2.8461401398473885,0.9957949284102651,0.7735410458816233,0.8952086801964219,0.9592753824871567,0.29384398460388184,0.2267763614654541,3.765271353567468e-13,0.9759897211646037,0.009913057450985436,0.005392940678611025,0.0014513114445534033,0.00019348604768716234,6.0063947934656955e-05,7.728414178132752e-06,0.0006064622439277514,0.1015625,0.00013713683752568923,0.15625,0.5B,4096,0.07698346499897121,0.03450907255201556,0.009913057450985436,0.005392940678611025,0.0014513114445534033,0.00019348604768716234,6.0063947934656955e-05,0.0,82,15,0.18292682926829268,0.6463414634146342,0.0,8,0.640625,6,0.4270833333333333,4,0.3203125,3,0.21354166666666666
0,1,longdoc_4096,longdoc,4096,8.317766166719343,59.61540080919827,250.4359697874977,0.28681838719721287,251.31891315622278,0.20399033239042869,0.05222085558113285,0.3972160155901852,0.05984514679787424,7261.233030676842,33.894316136837006,3.6361920420062468e-09,0.9999999999989979,0.16666666666666666,0.49554044439897654,0.004251857802616454,0.9997555425203172,0.9999926339065407,0.9999985583573553,0.9999998063316472,0.874720573425293,0.3863983154296875,4.6225911487806085e-54,0.9999778430008182,5.576199621846712e-08,3.01954839929474e-09,8.74118763145935e-13,1.1545393524568554e-15,4.216636498613549e-16,4.216635321537744e-16,4.841581987594313e-12,0.1015625,9.23335914233422e-13,0.15625,0.5B,4096,3.485129111755745e-06,4.545884967601174e-07,5.576199621846712e-08,3.01954839929474e-09,8.74118763145935e-13,1.1545393524568554e-15,4.216636498613549e-16,0.0,82,17,0.2073170731707317,0.45121951219512196,0.0,13,0.3942307692307692,9,0.2847222222222222,6,0.21354166666666666,3,0.21354166666666666
0,2,longdoc_4096,longdoc,4096,8.317766166719343,58.1661251919277,250.4359697874977,0.28681838719721287,251.31891315622278,0.20399033239042869,0.05222085558113285,0.3972160155901852,0.05984514679787424,3612.539502762258,6.943309418857098,0.007854473053284038,0.9990201496875637,0.16666666666666666,0.2484242242024647,6.1121815031651,0.8780664215120625,0.1585814755157789,0.24909070962293411,0.37690551845526415,0.033739686012268066,0.0065953731536865234,8.529600765170568e-07,0.45890069980998943,0.12809677970465283,0.08571570219103096,0.03488202196949311,0.03975349884366098,0.033072569155292164,0.02623053095424966,0.08044275603923505,0.1015625,0.08745582756981099,0.15625,0.5B,4096,0.2906317955752671,0.20600835725500932,0.12809677970465283,0.08571570219103096,0.03488202196949311,0.03975349884366098,0.033072569155292164,0.0,82,29,0.35365853658536583,0.6097560975609756,0.0,12,0.4270833333333333,6,0.4270833333333333,3,0.4270833333333333,2,0.3203125
0,3,longdoc_4096,longdoc,4096,8.317766166719343,58.43761313014376,250.4359697874977,0.28681838719721287,251.31891315622278,0.20399033239042869,0.05222085558113285,0.3972160155901852,0.05984514679787424,2495.853059440851,3.4220063388347626,0.2612365415091992,0.9459814106094023,0.16666666666666666,0.171366080717048,7.143597077334208,0.7613512767686242,0.040133381883331716,0.07204291612307444,0.12309808174075942,0.022521018981933594,0.010129213333129883,4.3663532700328366e-05,0.10717623051624961,0.23684989054703312,0.1485004685775933,0.08232320664181271,0.06562367831587641,0.06314790862421801,0.04591952440095487,0.0755530644620066,0.1015625,0.04181372127035714,0.15625,0.5B,4096,0.3606103928530083,0.26366553988176117,0.23684989054703312,0.1485004685775933,0.08232320664181271,0.06562367831587641,0.06314790862421801,0.0,82,52,0.6341463414634146,0.2804878048780488,0.0,25,0.205,17,0.15073529411764705,12,0.10677083333333333,9,0.07118055555555555
0,4,longdoc_4096,longdoc,4096,8.317766166719343,28.347198175643033,250.4359697874977,0.28681838719721287,251.31891315622278,0.20399033239042869,0.05222085558113285,0.3972160155901852,0.05984514679787424,880.1692631319165,12.74621320515871,5.223737062607468e-05,0.9999962755812983,0.16666666666666666,0.13483440940008587,2.851805793370413,0.996864846976775,0.7241654040352365,0.9164943518748703,0.9914434543845261,0.21642589569091797,0.2097787857055664,9.749075474256115e-24,0.57536102756536,0.0012669390801667583,7.895664085362239e-05,1.5736133285124462e-06,5.6886908723841106e-08,2.946916036312724e-09,4.521916359663841e-11,0.01579642637452569,0.1025390625,0.00013121552525880803,0.1572265625,0.5B,4096,0.09738507278696075,0.015297810758750818,0.0012669390801667583,7.895664085362239e-05,1.5736133285124462e-06,5.6886908723841106e-08,2.946916036312724e-09,0.0,82,18,0.21951219512195122,0.3048780487804878,0.0,18,0.2847222222222222,16,0.16015625,14,0.09151785714285714,11,0.05823863636363636
0,5,longdoc_4096,longdoc,4096,8.317766166719343,25.191514715173255,250.4359697874977,0.28681838719721287,251.31891315622278,0.20399033239042869,0.05222085558113285,0.3972160155901852,0.05984514679787424,1527.9452927038074,4.440392337739468,0.11504609645007778,0.98012595116618,0.08333333333333333,0.2682136310518708,2.130736242161756,0.9984502247847172,0.9116779970360066,0.9958419515447723,0.9998602938003511,0.13636517524719238,0.3867906332015991,1.6925588598638674e-29,0.3069552207638026,2.6447387221491616e-05,4.472402569297328e-07,1.45614646088098e-08,1.6925934288261176e-10,9.229906713809536e-12,9.669389590824659e-14,0.0023339376339306787,0.1025390625,0.002299464046020891,0.15625,0.5B,4096,0.01789964177592654,0.00040303227482384906,2.6447387221491616e-05,4.472402569297328e-07,1.45614646088098e-08,1.6925934288261176e-10,9.229906713809536e-12,0.0,82,26,0.3170731707317073,0.06097560975609756,0.0,28,0.18303571428571427,25,0.1025,24,0.053385416666666664,18,0.035590277777777776
0,6,longdoc_4096,longdoc,4096,8.317766166719343,60.382809523361395,250.4359697874977,0.28681838719721287,251.31891315622278,0.20399033239042869,0.05222085558113285,0.3972160155901852,0.05984514679787424,4157.2999553233385,14.155725046992302,1.2582655683208389e-05,0.9999991876065163,0.16666666666666666,0.27671417651150504,3.688852321172381,0.983411726882807,0.6335309658742099,0.7247774919441475,0.8068494913305624,0.16002154350280762,0.0013287067413330078,5.00365193111078e-09,0.8231898087808207,0.049228797340250936,0.03199411976739392,0.011715452598788725,0.005036699469398287,0.003343472912960777,0.001293444835379197,0.006171110269823729,0.1015625,0.003119531611103419,0.15625,0.5B,4096,0.11322160414555703,0.07604193051844531,0.049228797340250936,0.03199411976739392,0.011715452598788725,0.005036699469398287,0.003343472912960777,0.0,82,36,0.43902439024390244,0.4634146341463415,0.0,13,0.3942307692307692,7,0.36607142857142855,4,0.3203125,2,0.3203125
0,7,longdoc_4096,longdoc,4096,8.317766166719343,34.84916162270016,268.81019779113103,0.8240878077346646,270.4295038350755,0.21176995308968774,0.045224118411946373,0.30496422539709617,0.20414688763135225,1187.640788383782,7.866939626634121,0.003396636777959987,0.9996169413464029,0.16666666666666666,0.14814755482289724,0.7987339792384859,0.9995593124159797,0.999801877263279,0.999984215061255,0.9999990240693578,0.4716801643371582,0.16045832633972168,4.206959198505634e-31,2.516966334585284e-05,6.344681817799067e-07,2.4228899240417146e-08,4.25860940664208e-11,1.4938186754061773e-13,2.5757011128541597e-15,6.774930995925621e-16,0.03004639255764549,0.1015625,0.03136861507613698,0.15625,0.5B,4096,9.199400465073587e-05,4.508062327222755e-06,6.344681817799067e-07,2.4228899240417146e-08,4.25860940664208e-11,1.4938186754061773e-13,2.5757011128541597e-15,0.0,82,43,0.524390243902439,0.12195121951219512,0.0,34,0.15073529411764705,25,0.1025,19,0.06743421052631579,12,0.053385416666666664
0,8,longdoc_4096,longdoc,4096,8.317766166719343,130.65369306248812,268.81019779113103,0.8240878077346646,270.4295038350755,0.21176995308968774,0.045224118411946373,0.30496422539709617,0.20414688763135225,2695.1612065806985,2.1089037097990513,0.5009055452609851,0.8597178814512584,0.16666666666666666,0.0781741935258878,5.144579991994289,0.9628035746098679,0.24694830693269026,0.35302396791407853,0.505610667197837,0.06225466728210449,0.010624527931213379,4.497940116451272e-05,0.02004355561996508,0.6405099164117675,0.43389009262474876,0.1354703138015255,0.025419877809481482,0.011482763347239695,0.005414998718957938,0.08585067601603277,0.1015625,0.07104887121869745,0.15625,0.5B,4096,0.7081425690829529,0.7081425690829918,0.6405099164117675,0.43389009262474876,0.1354703138015255,0.025419877809481482,0.011482763347239695,0.0,82,82,1.0,0.012195121951219513,0.0,53,0.09669811320754718,32,0.080078125,17,0.07536764705882353,9,0.07118055555555555
0,9,longdoc_4096,longdoc,4096,8.317766166719343,59.39701016545753,268.81019779113103,0.8240878077346646,270.4295038350755,0.21176995308968774,0.045224118411946373,0.30496422539709617,0.20414688763135225,362.21592683903873,38.18673334829509,3.636140231182321e-09,0.9999999999989999,0.16666666666666666,0.025315667755540578,1.7752578561750472,0.9987738258203853,0.9388172060524154,0.9865942330051298,0.9968320694605934,0.22185969352722168,0.3529491424560547,1.8803352581940595e-16,0.994827874414124,0.0015459191169666109,0.00021984233411843812,1.0934773583170272e-05,3.3200316326512904e-07,2.3908847949268024e-08,2.8547855875152237e-10,1.3178063061271523e-05,0.1015625,3.311273144386537e-07,0.15625,0.5B,4096,0.03029445760054277,0.00616702709849138,0.0015459191169666109,0.00021984233411843812,1.0934773583170272e-05,3.3200316326512904e-07,2.3908847949268024e-08,0.0,82,16,0.1951219512195122,0.5365853658536586,0.0,11,0.4659090909090909,7,0.36607142857142855,5,0.25625,3,0.21354166666666666
0,10,longdoc_4096,longdoc,4096,8.317766166719343,63.53395287638846,268.81019779113103,0.8240878077346646,270.4295038350755,0.21176995308968774,0.045224118411946373,0.30496422539709617,0.20414688763135225,1078.073604363948,0.8536113630980253,1.3260376575245383,0.536591803609561,0.16666666666666666,0.06391043434619213,7.553018190302012,0.6443506112024064,0.025613099344819444,0.04748903686151434,0.08366129055164279,0.0032530128955841064,0.012555025517940521,0.0002151251992949275,0.058665028362091975,0.661556737736527,0.5617724612720697,0.3714856947931886,0.22824966459364127,0.17675163588710238,0.10653824647651505,0.1681067660305857,0.1015625,0.13452111802123562,0.15625,0.5B,4096,0.9342827913452496,0.8506137678642397,0.661556737736527,0.5617724612720697,0.3714856947931886,0.22824966459364127,0.17675163588710238,0.0,82,78,0.9512195121951219,0.10975609756097561,0.0,52,0.0985576923076923,35,0.07321428571428572,22,0.05823863636363636,13,0.04927884615384615
0,11,longdoc_4096,longdoc,4096,8.317766166719343,56.72171565938172,268.81019779113103,0.8240878077346646,270.4295038350755,0.21176995308968774,0.045224118411946373,0.30496422539709617,0.20414688763135225,1189.589536190033,28.27725249528885,3.6553514915108462e-09,0.9999999999982998,0.16666666666666666,0.08264510423899982,0.8877069587980496,0.9992883094915925,0.9793110710921923,0.9886860983417327,0.994518420897519,0.034853458404541016,0.04932761192321777,2.1550459263018694e-16,0.9833390049280859,0.003692123550758709,0.0013910050404931239,0.0001684483851235814,1.8844669754124015e-05,2.470619941685584e-06,9.879537643357635e-08,0.0017841576937543749,0.1015625,0.00018803947399783985,0.15625,0.5B,4096,0.015456840708023358,0.00843216395453202,0.003692123550758709,0.0013910050404931239,0.0001684483851235814,1.8844669754124015e-05,2.470619941685584e-06,0.0,82,45,0.5487804878048781,0.2926829268292683,0.0,31,0.16532258064516128,20,0.128125,11,0.11647727272727272,7,0.09151785714285714
0,12,longdoc_4096,longdoc,4096,8.317766166719343,67.03981677881772,268.81019779113103,0.8240878077346646,270.4295038350755,0.21176995308968774,0.045224118411946373,0.30496422539709617,0.20414688763135225,1048.780027853325,8.876740600913763,0.0013822919131256614,0.9998601977660065,0.16666666666666666,0.05933970091589365,5.344156275755167,0.9334846423264495,0.2811825660901407,0.4026449172436902,0.5293389354500784,0.12674003839492798,0.014258168637752533,0.00040582894157116674,0.5536991769401279,0.13179841797797529,0.0861004314246723,0.03638784096284124,0.020264929065532594,0.014211767628206569,0.009096967292661974,0.03451815250459644,0.1015625,0.02270835618010979,0.15625,0.5B,4096,0.37614258119259836,0.21041563170191008,0.13179841797797529,0.0861004314246723,0.03638784096284124,0.020264929065532594,0.014211767628206569,0.0,82,53,0.6463414634146342,0.4634146341463415,0.0,21,0.24404761904761904,12,0.21354166666666666,7,0.18303571428571427,4,0.16015625
