regime,policy,block_size,budget,rl2_med,rl2_p90,read_ratio,pass10,mass,support,over_read,n,model,ctx
agent,block_oracle,16,0.0025,0.8705808998858595,1.583306485871634,0.001953125,0.09226190476190477,0.4627983974698315,0.22293083900226757,0.7619047619047619,336,0.5B,8192
agent,block_oracle,16,0.005,0.28016028109729807,0.9892354300036863,0.005859375,0.2916666666666667,0.6318703092514036,0.3995354239256678,1.170731707317073,336,0.5B,8192
agent,block_oracle,16,0.01,0.1847215096730244,0.8483144078979408,0.009765625,0.37797619047619047,0.6884897556710199,0.4088269454123113,0.975609756097561,336,0.5B,8192
agent,block_oracle,16,0.02,0.11013618665501622,0.6723735080829853,0.01953125,0.4791666666666667,0.7528663157181339,0.4491144018583043,0.975609756097561,336,0.5B,8192
agent,block_oracle,16,0.05,0.05869410202408733,0.4210001962453245,0.05078125,0.6190476190476191,0.8318823791991298,0.5085583623693379,1.0146341463414634,336,0.5B,8192
agent,block_oracle,16,0.1,0.029508318890206588,0.26716280635337847,0.099609375,0.7410714285714286,0.8832986602470326,0.550765824622532,0.9951219512195122,336,0.5B,8192
agent,block_oracle,16,0.15,0.01854483338613097,0.20844443126675669,0.150390625,0.7976190476190477,0.9127934815950811,0.5891161997752722,1.0024410089503661,336,0.5B,8192
agent,block_oracle,32,0.0025,0.6717039915021107,1.426778215208397,0.00390625,0.13690476190476192,0.5037139733815993,0.33375850340136054,1.5238095238095237,336,0.5B,8192
agent,block_oracle,32,0.005,0.6717039915021107,1.426778215208397,0.00390625,0.13690476190476192,0.5037139733815993,0.24419279907084784,0.7804878048780488,336,0.5B,8192
agent,block_oracle,32,0.01,0.1785547272137039,0.866319307208818,0.01171875,0.3601190476190476,0.6805174072767686,0.4059596399535424,1.170731707317073,336,0.5B,8192
agent,block_oracle,32,0.02,0.12561695048783286,0.7330295645918588,0.01953125,0.4523809523809524,0.7334638239290856,0.4078469802555168,0.975609756097561,336,0.5B,8192
agent,block_oracle,32,0.05,0.06348424130717889,0.4610221861997654,0.05078125,0.5982142857142857,0.8150205605761747,0.47463704994192796,1.0146341463414634,336,0.5B,8192
agent,block_oracle,32,0.1,0.034385956165991036,0.3093951760442235,0.1015625,0.7142857142857143,0.8696972654360706,0.526270325203252,1.0146341463414634,336,0.5B,8192
agent,block_oracle,32,0.15,0.02224281093207229,0.235315612714115,0.1484375,0.7738095238095238,0.8975847231626006,0.5548113061335193,0.9894222945484134,336,0.5B,8192
agent,block_oracle,64,0.0025,0.5483349311870289,1.3289437703791123,0.0078125,0.15773809523809523,0.5344905014179195,0.4080215419501134,3.0476190476190474,336,0.5B,8192
agent,block_oracle,64,0.005,0.5483349311870289,1.3289437703791123,0.0078125,0.15773809523809523,0.5344905014179195,0.3350029036004646,1.5609756097560976,336,0.5B,8192
agent,block_oracle,64,0.01,0.5483349311870289,1.3289437703791123,0.0078125,0.15773809523809523,0.5344905014179195,0.24822154471544716,0.7804878048780488,336,0.5B,8192
agent,block_oracle,64,0.02,0.13653722012093963,0.7713693749625197,0.0234375,0.44047619047619047,0.7240310692003538,0.4042174796747967,1.170731707317073,336,0.5B,8192
agent,block_oracle,64,0.05,0.07350619668838457,0.5344590869433746,0.046875,0.5535714285714286,0.7885534226322604,0.4119410569105691,0.9365853658536585,336,0.5B,8192
agent,block_oracle,64,0.1,0.04332804946029785,0.3438785280753953,0.1015625,0.6755952380952381,0.8503886551978997,0.486799506387921,1.0146341463414634,336,0.5B,8192
agent,block_oracle,64,0.15,0.03006566981167172,0.26942766294396847,0.1484375,0.7380952380952381,0.8790518726882894,0.5158520283621992,0.9894222945484134,336,0.5B,8192
