model,ctx,regime,layer,mean_blocks_per_head,shared_union_blocks,read_amplification
0.5B,32768,longdoc,0,20.0,149,7.4499999996275
0.5B,32768,longdoc,1,20.0,75,3.7499999998125
0.5B,32768,longdoc,2,20.0,72,3.59999999982
0.5B,32768,longdoc,3,20.0,112,5.59999999972
0.5B,32768,longdoc,4,20.0,64,3.19999999984
0.5B,32768,longdoc,5,20.0,68,3.39999999983
0.5B,32768,longdoc,6,20.0,76,3.79999999981
0.5B,32768,longdoc,7,20.0,90,4.499999999775
0.5B,32768,longdoc,8,20.0,81,4.0499999997975
0.5B,32768,longdoc,9,20.0,77,3.8499999998075
0.5B,32768,longdoc,10,20.0,73,3.6499999998175
0.5B,32768,longdoc,11,20.0,87,4.3499999997825
0.5B,32768,longdoc,12,20.0,75,3.7499999998125
0.5B,32768,longdoc,13,20.0,93,4.6499999997675
0.5B,32768,longdoc,14,20.0,77,3.8499999998075
0.5B,32768,longdoc,15,20.0,82,4.099999999795
0.5B,32768,longdoc,16,20.0,78,3.899999999805
0.5B,32768,longdoc,17,20.0,66,3.299999999835
0.5B,32768,longdoc,18,20.0,89,4.4499999997775
0.5B,32768,longdoc,19,20.0,78,3.899999999805
0.5B,32768,longdoc,20,20.0,76,3.79999999981
0.5B,32768,longdoc,21,20.0,54,2.699999999865
0.5B,32768,longdoc,22,20.0,55,2.7499999998625
0.5B,32768,longdoc,23,20.0,59,2.9499999998525
0.5B,32768,needle,0,20.0,166,8.299999999585
0.5B,32768,needle,1,20.0,81,4.0499999997975
0.5B,32768,needle,2,20.0,75,3.7499999998125
0.5B,32768,needle,3,20.0,126,6.299999999685
0.5B,32768,needle,4,20.0,67,3.3499999998325
0.5B,32768,needle,5,20.0,65,3.2499999998375
0.5B,32768,needle,6,20.0,88,4.39999999978
0.5B,32768,needle,7,20.0,86,4.299999999785
0.5B,32768,needle,8,20.0,76,3.79999999981
0.5B,32768,needle,9,20.0,87,4.3499999997825
0.5B,32768,needle,10,20.0,83,4.1499999997925
0.5B,32768,needle,11,20.0,92,4.59999999977
0.5B,32768,needle,12,20.0,72,3.59999999982
0.5B,32768,needle,13,20.0,102,5.099999999745
0.5B,32768,needle,14,20.0,95,4.7499999997625
0.5B,32768,needle,15,20.0,84,4.19999999979
0.5B,32768,needle,16,20.0,85,4.2499999997875
0.5B,32768,needle,17,20.0,70,3.499999999825
0.5B,32768,needle,18,20.0,101,5.0499999997475
0.5B,32768,needle,19,20.0,88,4.39999999978
0.5B,32768,needle,20,20.0,80,3.9999999998
0.5B,32768,needle,21,20.0,85,4.2499999997875
0.5B,32768,needle,22,20.0,66,3.299999999835
0.5B,32768,needle,23,20.0,85,4.2499999997875
0.5B,32768,lenshift,0,12.0,84,6.999999999416667
0.5B,32768,lenshift,1,12.0,44,3.666666666361111
0.5B,32768,lenshift,2,12.0,46,3.833333333013889
0.5B,32768,lenshift,3,12.0,74,6.166666666152778
0.5B,32768,lenshift,4,12.0,56,4.666666666277778
0.5B,32768,lenshift,5,12.0,35,2.916666666423611
0.5B,32768,lenshift,6,12.0,33,2.7499999997708335
0.5B,32768,lenshift,7,12.0,58,4.833333332930556
0.5B,32768,lenshift,8,12.0,46,3.833333333013889
0.5B,32768,lenshift,9,12.0,56,4.666666666277778
0.5B,32768,lenshift,10,12.0,47,3.916666666340278
0.5B,32768,lenshift,11,12.0,46,3.833333333013889
0.5B,32768,lenshift,12,12.0,50,4.166666666319444
0.5B,32768,lenshift,13,12.0,51,4.2499999996458335
0.5B,32768,lenshift,14,12.0,49,4.083333332993056
0.5B,32768,lenshift,15,12.0,49,4.083333332993056
0.5B,32768,lenshift,16,12.0,34,2.8333333330972224
0.5B,32768,lenshift,17,12.0,44,3.666666666361111
0.5B,32768,lenshift,18,12.0,48,3.9999999996666666
0.5B,32768,lenshift,19,12.0,54,4.499999999625
0.5B,32768,lenshift,20,12.0,34,2.8333333330972224
0.5B,32768,lenshift,21,12.0,33,2.7499999997708335
0.5B,32768,lenshift,22,12.0,25,2.083333333159722
0.5B,32768,lenshift,23,12.0,31,2.5833333331180555
0.5B,32768,agent,0,20.0,158,7.899999999605
0.5B,32768,agent,1,20.0,83,4.1499999997925
0.5B,32768,agent,2,20.0,80,3.9999999998
0.5B,32768,agent,3,20.0,123,6.1499999996925
0.5B,32768,agent,4,20.0,82,4.099999999795
0.5B,32768,agent,5,20.0,72,3.59999999982
0.5B,32768,agent,6,20.0,88,4.39999999978
0.5B,32768,agent,7,20.0,99,4.9499999997525
0.5B,32768,agent,8,20.0,78,3.899999999805
0.5B,32768,agent,9,20.0,81,4.0499999997975
0.5B,32768,agent,10,20.0,75,3.7499999998125
0.5B,32768,agent,11,20.0,99,4.9499999997525
0.5B,32768,agent,12,20.0,81,4.0499999997975
0.5B,32768,agent,13,20.0,98,4.899999999755
0.5B,32768,agent,14,20.0,91,4.5499999997725
0.5B,32768,agent,15,20.0,110,5.499999999725
0.5B,32768,agent,16,20.0,135,6.7499999996625
0.5B,32768,agent,17,20.0,68,3.39999999983
0.5B,32768,agent,18,20.0,113,5.6499999997175
0.5B,32768,agent,19,20.0,90,4.499999999775
0.5B,32768,agent,20,20.0,83,4.1499999997925
0.5B,32768,agent,21,20.0,63,3.1499999998425
0.5B,32768,agent,22,20.0,53,2.6499999998675
0.5B,32768,agent,23,20.0,69,3.4499999998275
