policy,block_size,read_ratio,read_reduction,rl2_med,pass10,mass,support
centroid,16,0.09957953433168636,10.04222410469536,0.0750071469749449,0.5453869047619048,0.8085377785144117,0.5517656154990163
centroid,32,0.10051615741853545,9.948649308549845,0.0832787013265267,0.5234375,0.7900121354585471,0.5161156314832361
centroid,64,0.14955389112030276,6.6865528707346655,0.07945276487513936,0.6026785714285714,0.8331775046659888,0.5201754984973526
centroid,128,0.15108499500924874,6.618790965567325,0.0915526896985447,0.5615699404761905,0.814258845002703,0.49914300750550195
centroid_ub,16,0.09967829647090733,10.032274180085588,0.06310442965990415,0.5665922619047619,0.7820057271038096,0.4225923814646595
centroid_ub,32,0.1005302698088723,9.947252722002991,0.06787543981050725,0.5686383928571428,0.781183945616459,0.42488916844838276
centroid_ub,64,0.1009947579843264,9.901503998407444,0.07991845050615184,0.5610119047619048,0.7799250117910249,0.41829467431719985
centroid_ub,128,0.09826664349390399,10.176393173152753,0.0776555155560925,0.5610119047619048,0.780262937305198,0.4007460051652474
centroid_ub,256,0.09315184253576826,10.735160709419375,0.08648451124777781,0.5383184523809523,0.7719021175967221,0.37104228995026284
recent_sink_routed,16,0.019524985577638033,51.216427076151085,0.0831585648334264,0.5310639880952381,0.7756862060692064,0.4353365674978381
recent_sink_routed,32,0.019380754130730763,51.597579395239684,0.09350602171985795,0.5106026785714286,0.7563523022859797,0.39066719578985054
recent_sink_routed,64,0.0493290079415309,20.272047659772284,0.05334187503129635,0.6067708333333333,0.8149588540927023,0.4174591016907101
recent_sink_routed,128,0.047760605635627104,20.937757942793933,0.06984162688295151,0.5825892857142857,0.8000041119427114,0.3695839041326732
recent_sink_routed,256,0.05609268696575532,17.82763590217209,0.0833516988506817,0.5697544642857143,0.7967528247311687,0.3538178125508639
