model,ctx,regime,layer,mean_blocks_per_head,shared_union_blocks,read_amplification
0.5B,16384,longdoc,0,10.0,65,6.49999999935
0.5B,16384,longdoc,1,10.0,35,3.49999999965
0.5B,16384,longdoc,2,10.0,36,3.59999999964
0.5B,16384,longdoc,3,10.0,59,5.89999999941
0.5B,16384,longdoc,4,10.0,34,3.39999999966
0.5B,16384,longdoc,5,10.0,33,3.29999999967
0.5B,16384,longdoc,6,10.0,42,4.19999999958
0.5B,16384,longdoc,7,10.0,36,3.59999999964
0.5B,16384,longdoc,8,10.0,37,3.69999999963
0.5B,16384,longdoc,9,10.0,43,4.29999999957
0.5B,16384,longdoc,10,10.0,39,3.89999999961
0.5B,16384,longdoc,11,10.0,51,5.09999999949
0.5B,16384,longdoc,12,10.0,35,3.49999999965
0.5B,16384,longdoc,13,10.0,45,4.49999999955
0.5B,16384,longdoc,14,10.0,32,3.19999999968
0.5B,16384,longdoc,15,10.0,31,3.09999999969
0.5B,16384,longdoc,16,10.0,45,4.49999999955
0.5B,16384,longdoc,17,10.0,43,4.29999999957
0.5B,16384,longdoc,18,10.0,39,3.89999999961
0.5B,16384,longdoc,19,10.0,51,5.09999999949
0.5B,16384,longdoc,20,10.0,36,3.59999999964
0.5B,16384,longdoc,21,10.0,35,3.49999999965
0.5B,16384,longdoc,22,10.0,27,2.69999999973
0.5B,16384,longdoc,23,10.0,32,3.19999999968
0.5B,16384,needle,0,10.0,63,6.29999999937
0.5B,16384,needle,1,10.0,34,3.39999999966
0.5B,16384,needle,2,10.0,34,3.39999999966
0.5B,16384,needle,3,10.0,55,5.49999999945
0.5B,16384,needle,4,10.0,38,3.79999999962
0.5B,16384,needle,5,10.0,37,3.69999999963
0.5B,16384,needle,6,10.0,44,4.39999999956
0.5B,16384,needle,7,10.0,42,4.19999999958
0.5B,16384,needle,8,10.0,42,4.19999999958
0.5B,16384,needle,9,10.0,39,3.89999999961
0.5B,16384,needle,10,10.0,36,3.59999999964
0.5B,16384,needle,11,10.0,43,4.29999999957
0.5B,16384,needle,12,10.0,34,3.39999999966
0.5B,16384,needle,13,10.0,46,4.59999999954
0.5B,16384,needle,14,10.0,49,4.89999999951
0.5B,16384,needle,15,10.0,43,4.29999999957
0.5B,16384,needle,16,10.0,44,4.39999999956
0.5B,16384,needle,17,10.0,42,4.19999999958
0.5B,16384,needle,18,10.0,45,4.49999999955
0.5B,16384,needle,19,10.0,47,4.69999999953
0.5B,16384,needle,20,10.0,38,3.79999999962
0.5B,16384,needle,21,10.0,29,2.89999999971
0.5B,16384,needle,22,10.0,28,2.79999999972
0.5B,16384,needle,23,10.0,35,3.49999999965
0.5B,16384,lenshift,0,6.0,35,5.833333332361111
0.5B,16384,lenshift,1,6.0,23,3.8333333326944445
0.5B,16384,lenshift,2,6.0,21,3.4999999994166666
0.5B,16384,lenshift,3,6.0,28,4.666666665888889
0.5B,16384,lenshift,4,6.0,22,3.6666666660555554
0.5B,16384,lenshift,5,6.0,18,2.9999999995
0.5B,16384,lenshift,6,6.0,18,2.9999999995
0.5B,16384,lenshift,7,6.0,30,4.999999999166667
0.5B,16384,lenshift,8,6.0,20,3.333333332777778
0.5B,16384,lenshift,9,6.0,25,4.1666666659722225
0.5B,16384,lenshift,10,6.0,19,3.1666666661388887
0.5B,16384,lenshift,11,6.0,24,3.9999999993333333
0.5B,16384,lenshift,12,6.0,16,2.666666666222222
0.5B,16384,lenshift,13,6.0,23,3.8333333326944445
0.5B,16384,lenshift,14,6.0,19,3.1666666661388887
0.5B,16384,lenshift,15,6.0,23,3.8333333326944445
0.5B,16384,lenshift,16,6.0,20,3.333333332777778
0.5B,16384,lenshift,17,6.0,16,2.666666666222222
0.5B,16384,lenshift,18,6.0,23,3.8333333326944445
0.5B,16384,lenshift,19,6.0,22,3.6666666660555554
0.5B,16384,lenshift,20,6.0,16,2.666666666222222
0.5B,16384,lenshift,21,6.0,12,1.9999999996666666
0.5B,16384,lenshift,22,6.0,13,2.1666666663055554
0.5B,16384,lenshift,23,6.0,13,2.1666666663055554
0.5B,16384,agent,0,10.0,69,6.89999999931
0.5B,16384,agent,1,10.0,38,3.79999999962
0.5B,16384,agent,2,10.0,37,3.69999999963
0.5B,16384,agent,3,10.0,56,5.59999999944
0.5B,16384,agent,4,10.0,36,3.59999999964
0.5B,16384,agent,5,10.0,34,3.39999999966
0.5B,16384,agent,6,10.0,36,3.59999999964
0.5B,16384,agent,7,10.0,45,4.49999999955
0.5B,16384,agent,8,10.0,37,3.69999999963
0.5B,16384,agent,9,10.0,35,3.49999999965
0.5B,16384,agent,10,10.0,32,3.19999999968
0.5B,16384,agent,11,10.0,37,3.69999999963
0.5B,16384,agent,12,10.0,35,3.49999999965
0.5B,16384,agent,13,10.0,40,3.9999999996
0.5B,16384,agent,14,10.0,35,3.49999999965
0.5B,16384,agent,15,10.0,45,4.49999999955
0.5B,16384,agent,16,10.0,35,3.49999999965
0.5B,16384,agent,17,10.0,35,3.49999999965
0.5B,16384,agent,18,10.0,53,5.29999999947
0.5B,16384,agent,19,10.0,47,4.69999999953
0.5B,16384,agent,20,10.0,30,2.9999999997
0.5B,16384,agent,21,10.0,30,2.9999999997
0.5B,16384,agent,22,10.0,25,2.49999999975
0.5B,16384,agent,23,10.0,41,4.09999999959
