layer,head,prompt,regime,T,log_T,q_norm,k_norm_mean,k_norm_std,k_norm_max,v_norm_mean,v_norm_std,v_norm_max,value_spectral,cent_top1,cent_margin12,cent_entropy,cent_top_block_mass,cent_recent_frac,qk_align_max,entropy,gini,mass_top8,mass_top16,mass_top32,margin_top8,margin_top16,sink_mass,recent_mass,oracle_rl2_1,oracle_rl2_2,oracle_rl2_5,oracle_rl2_10,oracle_rl2_15,oracle_rl2_25,router_rl2_10,router_read_10,router_rl2_15,router_read_15,brl2_block_oracle_16_0.0025,brl2_centroid_ub_16_0.0025,brl2_maxsketch_16_0.0025,brl2_block_oracle_16_0.005,brl2_centroid_ub_16_0.005,brl2_maxsketch_16_0.005,brl2_block_oracle_16_0.01,brl2_centroid_ub_16_0.01,brl2_maxsketch_16_0.01,brl2_block_oracle_16_0.02,brl2_centroid_ub_16_0.02,brl2_maxsketch_16_0.02,brl2_block_oracle_16_0.05,brl2_centroid_ub_16_0.05,brl2_maxsketch_16_0.05,brl2_block_oracle_16_0.1,brl2_centroid_ub_16_0.1,brl2_maxsketch_16_0.1,brl2_block_oracle_16_0.15,brl2_centroid_ub_16_0.15,brl2_maxsketch_16_0.15,brl2_block_oracle_32_0.0025,brl2_centroid_ub_32_0.0025,brl2_maxsketch_32_0.0025,brl2_block_oracle_32_0.005,brl2_centroid_ub_32_0.005,brl2_maxsketch_32_0.005,brl2_block_oracle_32_0.01,brl2_centroid_ub_32_0.01,brl2_maxsketch_32_0.01,brl2_block_oracle_32_0.02,brl2_centroid_ub_32_0.02,brl2_maxsketch_32_0.02,brl2_block_oracle_32_0.05,brl2_centroid_ub_32_0.05,brl2_maxsketch_32_0.05,brl2_block_oracle_32_0.1,brl2_centroid_ub_32_0.1,brl2_maxsketch_32_0.1,brl2_block_oracle_32_0.15,brl2_centroid_ub_32_0.15,brl2_maxsketch_32_0.15,model,ctx
0,0,longdoc_8192,longdoc,8192,9.010913347279288,15.5262678452578,821.1923452768801,1.3497879432340927,825.35635625785,4.7079149128699855,1.2031104511887303,6.690606725864675,0.043905619732733644,5239.9016954842955,8.924784457311034,0.0013273557734627367,0.9998665318325791,0.08,0.4123445979802954,6.334065789299624,0.8916313754866255,0.20114457708226005,0.2931301810885576,0.40562871327221955,0.030689649211694814,0.02232678723646586,1.9154348630263435e-05,0.38651852952748783,0.1941853016773004,0.13703580040581678,0.06726268742845787,0.04408892397314818,0.03573473669215006,0.024011839905190645,0.10134670843256385,0.1015625,0.08093770752365399,0.15234375,0.2580894143559788,0.2580894143559788,0.6622251438065847,0.20749297727084268,0.23504206655805737,0.29044919257367025,0.20278613795152545,0.2163546807322747,0.22905954510197243,0.16106534368399023,0.18283149631547174,0.25790327455845535,0.12269886529940591,0.1236793221916848,0.2757678067560201,0.08908518466837578,0.09719456164181882,0.3059752975196043,0.06878960023362728,0.08211358281818075,0.2927613954350043,0.21941937093506625,0.21941937093506625,0.33420786341486636,0.21941937093506625,0.21941937093506625,0.33420786341486636,0.19650968808204675,0.20387644399401733,0.2703480753606181,0.16106534368399028,0.16794311345004556,0.2120481287438639,0.12792616709200424,0.12642104381055133,0.23644023718237178,0.09871217295185805,0.09995784279361847,0.2944356315708766,0.07916569045183162,0.0860281138108622,0.28704423745717167,1.5B,8192
0,1,longdoc_8192,longdoc,8192,9.010913347279288,39.68273715778746,821.1923452768801,1.3497879432340927,825.35635625785,4.7079149128699855,1.2031104511887303,6.690606725864675,0.043905619732733644,5119.747866563499,54.3219930306077,7.30091029287415e-09,0.9999999999989999,0.08,0.1658276898211137,0.00010787456937283767,0.9998779246516618,0.9999995383763756,0.9999999015830999,0.9999999790751588,0.011020389361249272,0.38949529577269004,2.340593661670027e-26,0.9999977831856687,1.4000630036429685e-09,9.342827046520297e-11,1.6386904536537018e-12,4.7038363664842e-14,4.6663298350956536e-15,1.6113732965845662e-15,2.178404242355008e-08,0.1015625,5.3319970455279e-09,0.15234375,6.161640942494436e-06,1.1681037953023652,1.150271597312676,1.2991305253061087e-06,2.8709694703986752e-06,1.0773454810066772,2.0666420163744242e-07,2.2381340799882857e-06,1.0637394161190423,6.070114746072642e-08,2.1839639432276447e-06,1.166840607055606,7.491437766148442e-09,5.479862623853475e-08,2.22526409294305e-06,6.749969377377384e-10,1.7344938082994264e-08,1.1228272256498956e-07,7.055482316126416e-11,8.583441021367628e-09,1.0578502418788956e-07,2.9835619106790708e-06,2.9835619106790708e-06,1.1502589827754184,2.9835619106790708e-06,2.9835619106790708e-06,1.1502589827754184,3.46926621979637e-07,2.8692155137660975e-06,1.0770736506440164,1.413316632260262e-07,2.041340641472171e-07,1.041319326633049,1.8999539700930845e-08,1.7804225109229756e-07,2.91094026395167e-06,3.0100464718481318e-09,7.409428174336725e-08,2.155925332113689e-06,5.329503061323721e-10,8.544147167321701e-09,9.189467615485805e-08,1.5B,8192
0,2,longdoc_8192,longdoc,8192,9.010913347279288,13.5313461160715,821.1923452768801,1.3497879432340927,825.35635625785,4.7079149128699855,1.2031104511887303,6.690606725864675,0.043905619732733644,755.9440977685153,26.84232096374035,7.3601961267677754e-09,0.9999999999967994,0.08,0.07250093388436624,2.663702975889174,0.9951267087103701,0.8308819885569976,0.8801814574298993,0.9193765993255981,0.30194760916477037,0.013371635599114029,4.1533502235720415e-06,0.925391159475222,0.023880167706762833,0.014169712120046977,0.00552563797364043,0.001887760789343733,0.0008106067951314618,0.00019607535345554194,0.005273046943023878,0.1015625,0.002530222635615304,0.15234375,0.09031006074557793,0.09031006074557793,0.6405559144562921,0.05012705029962271,0.05012705029962271,0.5508760804150474,0.035055509884993744,0.04002187313929195,0.6515470201723268,0.021054517218367534,0.024968082848716846,0.5606624027759133,0.011176463811210827,0.0125954720219024,0.04396356413482325,0.0043958181634689945,0.00575702638848012,0.037710894667612446,0.0020478888501663474,0.0025485695290780783,0.02520435247872128,0.061816651930913964,0.061816651930913964,0.32689808677240434,0.061816651930913964,0.061816651930913964,0.32689808677240434,0.03223703031582962,0.03594475138424838,0.3406413083917215,0.021054517218367576,0.028996938043873936,0.5598487137892553,0.012279426992446493,0.013937236595857147,0.4949587567503353,0.004573917697067406,0.005158687346838895,0.03279541047486768,0.0023116178252634177,0.0025355489831862523,0.028306091830115506,1.5B,8192
0,3,longdoc_8192,longdoc,8192,9.010913347279288,77.77234663722784,821.1923452768801,1.3497879432340927,825.35635625785,4.7079149128699855,1.2031104511887303,6.690606725864675,0.043905619732733644,24751.73118972499,77.03460767585784,7.300910292874082e-09,0.9999999999989999,0.08,0.3948622614069517,2.675674216163146e-07,0.999877929687077,0.9999999999964932,0.9999999999987932,0.9999999999989913,0.5030813791477158,0.38120366197154,2.209158643826808e-42,0.999999998485877,3.514135013831353e-16,3.510770745459795e-16,3.510770745459795e-16,3.510770745459795e-16,5.135883223200563e-16,3.510770745459795e-16,1.2644378579943484e-12,0.1015625,1.26419475111988e-12,0.15234375,1.5250992551305538e-09,1.0190147524705329,1.181601633269522,2.6949412295933998e-11,1.1319209266035775e-10,1.181601628150659,1.1569933850270376e-11,1.0693429674421456e-10,1.1815994199114583,2.3257516163320296e-13,1.0689457684159887e-10,1.1815684186387634,8.204500237583226e-16,1.1266204858349742e-11,1.5218264242777992e-09,5.209019260752467e-16,1.2793615867324653e-12,1.5120178134673938e-09,5.20901849667919e-16,9.075596305431199e-14,1.5060699159470845e-09,1.5218406167217456e-09,1.5218406167217456e-09,1.5218406167217456e-09,1.5218406167217456e-09,1.5218406167217456e-09,1.5218406167217456e-09,2.2223184675938785e-11,1.1315284104984369e-10,1.5218406167217456e-09,5.919161534693923e-12,1.068418254831939e-10,1.5218406169019305e-09,2.7029400069857565e-14,9.803634345794243e-11,1.5218321072216269e-09,4.329930356564301e-16,1.2638919825540659e-12,1.1313161633760969e-10,4.463534164200712e-16,9.522032090969644e-14,1.095723281602515e-10,1.5B,8192
0,4,longdoc_8192,longdoc,8192,9.010913347279288,16.859631516111108,821.1923452768801,1.3497879432340927,825.35635625785,4.7079149128699855,1.2031104511887303,6.690606725864675,0.043905619732733644,1665.9294523717836,17.594187633134425,4.3222293407194665e-07,0.9999999771460283,0.08,0.12231339547017916,5.985054630956956,0.915507067758542,0.2587758701103656,0.3552965221154171,0.4554513153736513,0.058913918519749586,0.16646631174543813,0.0003517937179705994,0.5038090941041538,0.09577480127237963,0.06546072723517973,0.03878883131311543,0.02405278616146918,0.01612696847074382,0.00951753417456765,0.04597262480884312,0.1015625,0.03501694273686484,0.15234375,0.31960307734251203,0.31960307734251203,0.3371549254479158,0.14280505274888936,0.18916782859034645,0.3172588711030391,0.11997005377646659,0.12468242618765994,0.2981446950030322,0.0819684480443917,0.11468010743915445,0.25764548946123317,0.05411965409705816,0.07236054758111352,0.18534914974411887,0.03754941694748703,0.047769387357346,0.18084768664337092,0.026817224210360424,0.04197042253920858,0.11408127948809069,0.2105993732032776,0.2105993732032776,0.23739221488925077,0.2105993732032776,0.2105993732032776,0.23739221488925077,0.11293847333331207,0.12110033471366896,0.2266892708347782,0.08828379464562545,0.11147935280392486,0.21290303660744342,0.056924438246028976,0.06681857712465805,0.16554452826955918,0.04064194113927862,0.05160614427200494,0.1902376785055029,0.028152285955815093,0.04254086499941103,0.07042350901275377,1.5B,8192
0,5,longdoc_8192,longdoc,8192,9.010913347279288,16.512721911808306,821.1923452768801,1.3497879432340927,825.35635625785,4.7079149128699855,1.2031104511887303,6.690606725864675,0.043905619732733644,1925.0973286735825,27.227185789030045,7.341500752770193e-09,0.9999999999975024,0.08,0.14752808053519842,1.4771242894536494,0.9987525929125731,0.9391650852985887,0.9618877584887288,0.9768672310511274,0.02259406147629761,0.02612655743737946,1.0391172094342005e-06,0.9735664977536659,0.008133192008182737,0.004171158792757512,0.0011522330274534194,0.0002582835594104298,8.747119260637295e-05,1.5697209541253227e-05,0.002232453769659658,0.1015625,0.0009360339365928361,0.15234375,0.05300406122815222,0.05300406122815222,0.764608489718023,0.023273980279900526,0.027511717919533173,0.7541531742474025,0.017014946879564573,0.01746201410331319,0.7125603412932694,0.010152497761400807,0.014578799820795772,0.051573508766299826,0.004601087889460655,0.005269749051455241,0.04895199948209795,0.0017708772001767117,0.0026882382321452886,0.043920581723622246,0.0006413560904912594,0.0010764187513255846,0.03977543487743867,0.03247830812970136,0.03247830812970136,0.7628048004152296,0.03247830812970136,0.03247830812970136,0.7628048004152296,0.0156338765145349,0.01706020506744138,0.3946143924967589,0.011320292393885965,0.014505126596084618,0.5420041062537694,0.0050787684204045965,0.007958591309302033,0.026843692524592663,0.0019190347854235723,0.002466789132942164,0.025571063009865554,0.0008435544837647205,0.0010332052218197149,0.02364929463634626,1.5B,8192
0,6,longdoc_8192,longdoc,8192,9.010913347279288,34.66518004986498,736.0923091421957,0.7503872283436241,738.5882225507672,4.122391453955142,0.4267862209105323,5.5174707695973595,0.13185093660458305,-5283.022177219391,14.102167390286922,1.1346148773626535e-05,0.9999992492055173,0.08,-0.19679094276975148,0.0018516708391982802,0.9998775636955833,0.9999468637880018,0.999973457528007,0.999990494535491,0.13702100608912815,0.12998003787060952,1.4399227545354518e-25,0.999866740922945,1.3634531887630958e-06,2.3666680283472398e-07,6.323970924905757e-09,2.027761764441194e-10,1.1354907235230741e-11,1.3469939561326088e-13,4.256326922835104e-06,0.1015625,2.0075827642919895e-07,0.15234375,0.00013501594424205585,1.4146980254228343,1.2352832244270744,8.772375948361208e-05,0.00011608331367638354,1.2209425492033217,5.8590018175247006e-05,0.0001104283050132045,1.1758245889750827,2.570103141537199e-05,0.00010117996475078893,1.1655318224202378,2.8935050613496988e-06,4.8066700658598866e-05,1.0936894436435065,3.490099922478747e-07,6.103141356431943e-06,1.0690554897292381,3.873705465311669e-08,3.262598502818027e-07,6.724000062852833e-05,0.0001349117864153844,0.0001349117864153844,1.287858720491229,0.0001349117864153844,0.0001349117864153844,1.287858720491229,8.766755550648048e-05,0.0001011373292650294,1.227435113585054,5.533611609149316e-05,9.419019857855687e-05,1.138374991884111,8.349056487642762e-06,6.278379096536197e-05,1.0892150813419654,6.122282361952355e-07,4.4482227383637635e-06,1.0746813881400963,1.3387362279142397e-07,3.42261506454388e-07,1.0685104586957788,1.5B,8192
0,7,longdoc_8192,longdoc,8192,9.010913347279288,19.054044392811623,736.0923091421957,0.7503872283436241,738.5882225507672,4.122391453955142,0.4267862209105323,5.5174707695973595,0.13185093660458305,7501.503987520933,19.183618746697903,1.0351905503696541e-07,0.9999999952498628,0.08,0.5440804025533122,0.1156303941411321,0.999596946445252,0.9957115476818643,0.9961363802687624,0.9967173942998527,0.03825905461678758,0.035199530589693495,5.867485993900117e-07,0.9957680650815973,0.0021528289619001137,0.0014709818384185433,0.0007043870022848248,0.000317743850619484,0.00017275502647064373,6.259449890019561e-05,0.0018954525641940955,0.1015625,0.0012136156464654275,0.15234375,0.004331957773571255,0.004331957773571255,1.07585260926442,0.003914865904272797,0.00412797481722527,1.0469921609690356,0.003587455676064763,0.003914995912585944,1.0355516115375323,0.0030361260322267175,0.003308414324263307,0.9256199289263554,0.002011603420272118,0.0024400856814441453,0.9579567896229187,0.001286680141568549,0.00165289080570973,0.9507140920305035,0.0008587973765300847,0.0011895558950651118,0.002758801046215478,0.004165476867884271,0.004165476867884271,1.0376470009437686,0.004165476867884271,0.004165476867884271,1.0376470009437686,0.0035831343754834685,0.003727481555461123,1.0192656382892094,0.0032211465025497924,0.0034944199228193985,1.0114655915589366,0.0023009458532361558,0.0026320807904431183,0.9416914159806459,0.0015856805299795914,0.0020397327129658754,0.9508182575952294,0.0011084079132116643,0.0013558928155440778,0.9444392664312693,1.5B,8192
0,8,longdoc_8192,longdoc,8192,9.010913347279288,16.21130909045743,736.0923091421957,0.7503872283436241,738.5882225507672,4.122391453955142,0.4267862209105323,5.5174707695973595,0.13185093660458305,2623.8348544118926,26.241295830346644,7.413812572983073e-09,0.9999999999947657,0.08,0.230667938745947,0.9858090005530566,0.9980597287132793,0.9472111726166936,0.9616770884014223,0.9717938785431434,0.1477224281008489,0.13230258210467127,5.375578763883849e-06,0.9447696172439378,0.016706173456778783,0.01069529428143291,0.004410951168321165,0.0015444586802895145,0.0006254753899284846,0.00012096493924660062,0.013912992118961688,0.1015625,0.011147026046250761,0.15234375,0.06988053691719176,0.06988053691719176,1.1174954072700976,0.04812785685694346,0.048902546966480845,1.0065652575467585,0.037132516220779246,0.041546656755901676,0.9603205829840409,0.02870688285240459,0.03195468423023941,0.9463997789593545,0.017879573322302153,0.022366335038378184,0.05003723429822089,0.011961955462699656,0.017533953595301674,0.03244900459920083,0.008506726344956484,0.012240244907692354,0.02847875491340289,0.06371184170197593,0.06371184170197593,1.167523246958803,0.06371184170197593,0.06371184170197593,1.167523246958803,0.040586596251631954,0.040586596251631954,0.044387572244206294,0.031588798858907446,0.031588798858907426,0.03516681886083967,0.020475335054431477,0.02256556106688693,0.032294976579896405,0.013347937197453075,0.015497689766800637,0.028909784047909448,0.009814517110508268,0.011732384467739523,0.026196207743494456,1.5B,8192
0,9,longdoc_8192,longdoc,8192,9.010913347279288,11.154458278242371,736.0923091421957,0.7503872283436241,738.5882225507672,4.122391453955142,0.4267862209105323,5.5174707695973595,0.13185093660458305,460.8021294735372,15.76016629487276,2.457905187610109e-06,0.9999998544209835,0.08,0.05967484810504875,6.117056848739105,0.9171046592730744,0.2093829664930661,0.30743782203655523,0.4134991844117538,0.0016406925188334753,0.22637456925193788,1.652288341404315e-05,0.20539749962737833,0.39275638391799855,0.2769319114224096,0.15543095035580112,0.09131662801313384,0.06279267940190443,0.033519600285548935,0.10345894730300897,0.1015625,0.10620751081353484,0.15234375,0.661190032641216,0.661190032641216,1.0040753422630155,0.2736666903712624,0.5530273927305129,0.8459806268067763,0.23652142799448758,0.542403324102856,0.8372522133767636,0.19215908413569416,0.5613487647558033,0.4041860691141383,0.12480927245204296,0.1781565061544877,0.44571295798169647,0.12080791782836192,0.09170299317826709,0.2270217896001787,0.08660354927112944,0.05194603222977773,0.2388453974764653,0.5336984387890382,0.5336984387890382,0.8792588377172136,0.5336984387890382,0.5336984387890382,0.8792588377172136,0.1660663302037551,0.5528618592979596,0.3855018310608608,0.17165572693943765,0.34781153830064754,0.43158485633129245,0.08787271141666411,0.2310715535830311,0.37758756496437085,0.08084663453232012,0.15804890504996988,0.39071699404399923,0.04987309584767807,0.07049398646535661,0.13162199142255895,1.5B,8192
