regime,policy,block_size,budget,rl2_med,rl2_p90,read_ratio,pass10,mass,support,over_read,n,model,ctx
agent,block_oracle,16,0.0025,0.699085871970454,1.3457204450862528,0.001953125,0.0744047619047619,0.41765233196265944,0.22477324263038548,0.7619047619047619,336,1.5B,8192
agent,block_oracle,16,0.005,0.30333057282293374,0.7695172471874503,0.005859375,0.20535714285714285,0.6093305090776853,0.39162311265969807,1.170731707317073,336,1.5B,8192
agent,block_oracle,16,0.01,0.1750893850742842,0.6219143820314705,0.009765625,0.27976190476190477,0.6799687653986454,0.4048344947735192,0.975609756097561,336,1.5B,8192
agent,block_oracle,16,0.02,0.09957023866794518,0.43195422809058637,0.01953125,0.5,0.7571169833910448,0.4404580429732869,0.975609756097561,336,1.5B,8192
agent,block_oracle,16,0.05,0.05929059389555473,0.26853709368772105,0.05078125,0.6130952380952381,0.8387016843621107,0.4901422764227642,1.0146341463414634,336,1.5B,8192
agent,block_oracle,16,0.1,0.037161508336526615,0.18441039996776243,0.099609375,0.7321428571428571,0.8918700018504777,0.52590737514518,0.9951219512195122,336,1.5B,8192
agent,block_oracle,16,0.15,0.024433395290320598,0.13588032139921685,0.150390625,0.8095238095238095,0.9225963517017791,0.5657522569646247,1.0024410089503661,336,1.5B,8192
agent,block_oracle,32,0.0025,0.5507153400061897,1.2348554017761493,0.00390625,0.09226190476190477,0.47075751401046384,0.3421201814058957,1.5238095238095237,336,1.5B,8192
agent,block_oracle,32,0.005,0.5507153400061897,1.2348554017761493,0.00390625,0.09226190476190477,0.47075751401046384,0.2573315911730546,0.7804878048780488,336,1.5B,8192
agent,block_oracle,32,0.01,0.18818206288890615,0.6388078174520061,0.01171875,0.2857142857142857,0.6725814230065452,0.4105328106852497,1.170731707317073,336,1.5B,8192
agent,block_oracle,32,0.02,0.12495969326019973,0.49822195393254753,0.01953125,0.44642857142857145,0.7337810985415711,0.40525188734030193,0.975609756097561,336,1.5B,8192
agent,block_oracle,32,0.05,0.07134635892860075,0.30636942113096566,0.05078125,0.5922619047619048,0.8182387324321064,0.455524099883856,1.0146341463414634,336,1.5B,8192
agent,block_oracle,32,0.1,0.044930467297808044,0.19418904827989836,0.1015625,0.6904761904761905,0.8710770512473273,0.49839939024390245,1.0146341463414634,336,1.5B,8192
agent,block_oracle,32,0.15,0.03286734308626478,0.1485852520808359,0.1484375,0.7738095238095238,0.900096534435492,0.5277132008214189,0.9894222945484134,336,1.5B,8192
agent,block_oracle,64,0.0025,0.42336090863260833,1.1861740819976327,0.0078125,0.12202380952380952,0.5136765766644531,0.4318310657596372,3.0476190476190474,336,1.5B,8192
agent,block_oracle,64,0.005,0.42336090863260833,1.1861740819976327,0.0078125,0.12202380952380952,0.5136765766644531,0.3637485481997677,1.5609756097560976,336,1.5B,8192
agent,block_oracle,64,0.01,0.42336090863260833,1.1861740819976327,0.0078125,0.12202380952380952,0.5136765766644531,0.2769308943089431,0.7804878048780488,336,1.5B,8192
agent,block_oracle,64,0.02,0.13539908165023368,0.5766245455324577,0.0234375,0.40476190476190477,0.7192220550671345,0.40334639953542395,1.170731707317073,336,1.5B,8192
agent,block_oracle,64,0.05,0.08319275768445275,0.39283829898407774,0.046875,0.5565476190476191,0.7885790411370092,0.4026930894308943,0.9365853658536585,336,1.5B,8192
agent,block_oracle,64,0.1,0.05250037875739848,0.25516016014849074,0.1015625,0.6369047619047619,0.8478937033311656,0.46301901858304295,1.0146341463414634,336,1.5B,8192
agent,block_oracle,64,0.15,0.04042006022641549,0.2007055034100243,0.1484375,0.7172619047619048,0.8752621950220795,0.4895918090588554,0.9894222945484134,336,1.5B,8192
agent,block_oracle,128,0.0025,0.3432863835298221,1.123810134978212,0.015625,0.15476190476190477,0.5750632939092325,0.5379818594104309,6.095238095238095,336,1.5B,8192
agent,block_oracle,128,0.005,0.3432863835298221,1.123810134978212,0.015625,0.15476190476190477,0.5750632939092325,0.4793844367015098,3.1219512195121952,336,1.5B,8192
agent,block_oracle,128,0.01,0.3432863835298221,1.123810134978212,0.015625,0.15476190476190477,0.5750632939092325,0.3969221835075494,1.5609756097560976,336,1.5B,8192
agent,block_oracle,128,0.02,0.3432863835298221,1.123810134978212,0.015625,0.15476190476190477,0.5750632939092325,0.29373548199767713,0.7804878048780488,336,1.5B,8192
agent,block_oracle,128,0.05,0.0986432188955973,0.4222755924455817,0.046875,0.5089285714285714,0.7767422208539161,0.3826945412311266,0.9365853658536585,336,1.5B,8192
agent,block_oracle,128,0.1,0.05756269450110581,0.2773602675517426,0.09375,0.6130952380952381,0.8330470729220866,0.42321428571428565,0.9365853658536585,336,1.5B,8192
agent,block_oracle,128,0.15,0.04209601627227693,0.20647986284630465,0.15625,0.7023809523809523,0.8720533820877788,0.4874995156728273,1.0414971521562246,336,1.5B,8192
agent,block_oracle,256,0.0025,0.31484820066903463,1.0565659686095734,0.03125,0.1875,0.622786586595646,0.6099773242630385,12.19047619047619,336,1.5B,8192
agent,block_oracle,256,0.005,0.31484820066903463,1.0565659686095734,0.03125,0.1875,0.622786586595646,0.5626451800232288,6.2439024390243905,336,1.5B,8192
agent,block_oracle,256,0.01,0.31484820066903463,1.0565659686095734,0.03125,0.1875,0.622786586595646,0.48994628339140534,3.1219512195121952,336,1.5B,8192
agent,block_oracle,256,0.02,0.31484820066903463,1.0565659686095734,0.03125,0.1875,0.622786586595646,0.39322009291521487,1.5609756097560976,336,1.5B,8192
agent,block_oracle,256,0.05,0.09292081726001857,0.4105129829552523,0.0625,0.5267857142857143,0.7860924644306192,0.41004645760743325,1.248780487804878,336,1.5B,8192
agent,block_oracle,256,0.1,0.06652951913847677,0.31805249698450455,0.09375,0.5744047619047619,0.8221902008068305,0.3954885307781649,0.9365853658536585,336,1.5B,8192
agent,block_oracle,256,0.15,0.047228674976855886,0.22439640294744329,0.15625,0.6904761904761905,0.8628107214684894,0.4598662288349026,1.0414971521562246,336,1.5B,8192
agent,centroid,16,0.0025,0.746297852247451,2.257005595515909,0.001953125,0.050595238095238096,0.2785124667083211,0.28968253968253965,0.7619047619047619,336,1.5B,8192
agent,centroid,16,0.005,0.4563710686353955,1.7977254039158916,0.005859375,0.09226190476190477,0.4131984825254055,0.43285423925667826,1.170731707317073,336,1.5B,8192
agent,centroid,16,0.01,0.3653880762446394,1.574389418987705,0.009765625,0.13392857142857142,0.4893087250697364,0.44004065040650403,0.975609756097561,336,1.5B,8192
agent,centroid,16,0.02,0.279528800729139,1.1019940498840195,0.01953125,0.19047619047619047,0.5952173679689875,0.4626342915214866,0.975609756097561,336,1.5B,8192
agent,centroid,16,0.05,0.14362417389525828,0.6131384127128727,0.05078125,0.39285714285714285,0.7407079966353958,0.5042029616724738,1.0146341463414634,336,1.5B,8192
agent,centroid,16,0.1,0.07432831039384069,0.32598481785237865,0.099609375,0.5803571428571429,0.8255977260675507,0.5454631242740999,0.9951219512195122,336,1.5B,8192
agent,centroid,16,0.15,0.04399162545753768,0.23176878396937894,0.150390625,0.7202380952380952,0.8758821227978034,0.588195978147158,1.0024410089503661,336,1.5B,8192
